geneid	geneidv3
NCU00003	NCU00003.3
NCU00004	NCU00004.3
NCU00005	NCU00005.3
NCU00006	NCU00006.3
NCU00007	NCU00007.3
NCU00008	NCU00008.3
NCU00009	NCU00009.3
NCU00010	NCU00010.3
NCU00011	NCU00011.3
NCU00013	NCU00013.3
NCU00014	NCU00014.3
NCU00015	NCU00015.3
NCU00017	NCU00017.3
NCU00018	NCU00018.3
NCU00019	NCU00019.3
NCU00021	NCU00021.3
NCU00022	NCU00022.3
NCU00023	NCU00023.3
NCU00024	NCU00024.3
NCU00025	NCU00025.3
NCU00026	NCU00026.3
NCU00027	NCU00027.3
NCU00028	NCU00028.3
NCU00029	NCU00029.3
NCU00030	NCU00030.3
NCU00031	NCU00031.3
NCU00032	NCU00032.3
NCU00034	NCU00034.3
NCU00035	NCU00035.3
NCU00037	NCU00037.3
NCU00038	NCU00038.3
NCU00039	NCU00039.3
NCU00040	NCU00040.3
NCU00041	NCU00041.3
NCU00042	NCU00042.3
NCU00043	NCU00043.3
NCU00045	NCU00045.3
NCU00046	NCU00046.3
NCU00047	NCU00047.3
NCU00048	NCU00048.3
NCU00050	NCU00050.3
NCU00051	NCU00051.3
NCU00052	NCU00052.3
NCU00054	NCU00054.3
NCU00055	NCU00055.3
NCU00056	NCU00056.3
NCU00057	NCU00057.3
NCU16651	NCU00058.3
NCU16652	NCU00058.3
NCU00059	NCU00059.3
NCU00060	NCU00060.3
NCU00061	NCU00061.3
NCU00064	NCU00064.3
NCU00065	NCU00065.3
NCU00066	NCU00066.3
NCU00067	NCU00067.3
NCU00068	NCU00068.3
NCU00069	NCU00069.3
NCU00070	NCU00070.3
NCU00071	NCU00071.3
NCU00072	NCU00072.3
NCU00073	NCU00073.3
NCU00074	NCU00074.3
NCU00075	NCU00075.3
NCU00076	NCU00076.3
NCU00077	NCU00077.3
NCU00078	NCU00078.3
NCU00079	NCU00079.3
NCU00080	NCU00080.3
NCU00081	NCU00081.3
NCU00082	NCU00082.3
NCU00083	NCU00083.3
NCU00084	NCU00084.3
NCU00085	NCU00085.3
NCU00086	NCU00086.3
NCU00087	NCU00087.3
NCU00088	NCU00088.3
NCU00089	NCU00089.3
NCU00090	NCU00090.3
NCU00091	NCU00091.3
NCU00092	NCU00092.3
NCU00093	NCU00093.3
NCU00095	NCU00095.3
NCU00096	NCU00096.3
NCU00097	NCU00097.3
NCU00099	NCU00099.3
NCU00100	NCU00100.3
NCU00101	NCU00101.3
NCU00102	NCU00102.3
NCU00103	NCU00103.3
NCU00104	NCU00104.3
NCU00105	NCU00105.3
NCU00106	NCU00106.3
NCU00107	NCU00107.3
NCU00108	NCU00108.3
NCU00109	NCU00109.3
NCU00110	NCU00110.3
NCU00111	NCU00111.3
NCU00112	NCU00112.3
NCU16656	NCU00113.3
NCU16657	NCU00113.3
NCU00114	NCU00114.3
NCU00115	NCU00115.3
NCU00116	NCU00116.3
NCU00117	NCU00117.3
NCU00118	NCU00118.3
NCU00119	NCU00119.3
NCU00120	NCU00120.3
NCU00121	NCU00121.3
NCU00122	NCU00122.3
NCU00123	NCU00123.3
NCU00124	NCU00124.3
NCU00125	NCU00125.3
NCU00126	NCU00126.3
NCU00127	NCU00127.3
NCU00128	NCU00128.3
NCU00129	NCU00129.3
NCU00130	NCU00130.3
NCU00132	NCU00132.3
NCU00135	NCU00135.3
NCU00138	NCU00138.3
NCU00142	NCU00142.3
NCU00143	NCU00143.3
NCU00144	NCU00144.3
NCU00145	NCU00145.3
NCU00146	NCU00146.3
NCU00147	NCU00147.3
NCU00148	NCU00148.3
NCU00149	NCU00149.3
NCU00150	NCU00150.3
NCU00151	NCU00151.3
NCU00152	NCU00152.3
