geneid	geneidv2
NCU00003	NCU00003.2
NCU00004	NCU00004.2
NCU00005	NCU00005.2
NCU00006	NCU00006.2
NCU00007	NCU00007.2
NCU00008	NCU00008.2
NCU00009	NCU00009.2
NCU00010	NCU00010.2
NCU00011	NCU00011.2
NCU00013	NCU00013.2
NCU00014	NCU00014.2
NCU00015	NCU00015.2
NCU00017	NCU00017.2
NCU00018	NCU00018.2
NCU00019	NCU00019.2
NCU00021	NCU00021.2
NCU00022	NCU00022.2
NCU00023	NCU00023.2
NCU00024	NCU00024.2
NCU00025	NCU00025.2
NCU00026	NCU00026.2
NCU00027	NCU00027.2
NCU00028	NCU00028.2
NCU00029	NCU00029.2
NCU00030	NCU00030.2
NCU00031	NCU00031.2
NCU00032	NCU00032.2
NCU00034	NCU00034.2
NCU00035	NCU00035.2
NCU00037	NCU00037.2
NCU00038	NCU00038.2
NCU00039	NCU00039.2
NCU00040	NCU00040.2
NCU00041	NCU00041.2
NCU00042	NCU00042.2
NCU00043	NCU00043.2
NCU00045	NCU00045.2
NCU00046	NCU00046.2
NCU00047	NCU00047.2
NCU00048	NCU00048.2
NCU00050	NCU00050.2
NCU00051	NCU00051.2
NCU00052	NCU00052.2
NCU00054	NCU00054.2
NCU00055	NCU00055.2
NCU00056	NCU00056.2
NCU00057	NCU00057.2
NCU16651	NCU00058.2
NCU16652	NCU00058.2
NCU00059	NCU00059.2
NCU00060	NCU00060.2
NCU00061	NCU00061.2
NCU00064	NCU00064.2
NCU00065	NCU00065.2
NCU00066	NCU00066.2
NCU00067	NCU00067.2
NCU00068	NCU00068.2
NCU00069	NCU00069.2
NCU00070	NCU00070.2
NCU00071	NCU00071.2
NCU00072	NCU00072.2
NCU00073	NCU00073.2
NCU00074	NCU00074.2
NCU00075	NCU00075.2
NCU00076	NCU00076.2
NCU00077	NCU00077.2
NCU00078	NCU00078.2
NCU00079	NCU00079.2
NCU00080	NCU00080.2
NCU00081	NCU00081.2
NCU00082	NCU00082.2
NCU00083	NCU00083.2
NCU00084	NCU00084.2
NCU00085	NCU00085.2
NCU00086	NCU00086.2
NCU00087	NCU00087.2
NCU00088	NCU00088.2
NCU00089	NCU00089.2
NCU00090	NCU00090.2
NCU00091	NCU00091.2
NCU00092	NCU00092.2
NCU00093	NCU00093.2
NCU00095	NCU00095.2
NCU00096	NCU00096.2
NCU00097	NCU00097.2
NCU00099	NCU00099.2
NCU00100	NCU00100.2
NCU00101	NCU00101.2
NCU00102	NCU00102.2
NCU00103	NCU00103.2
NCU00104	NCU00104.2
NCU00105	NCU00105.2
NCU00106	NCU00106.2
NCU00107	NCU00107.2
