geneid	geneidv1
NCU00003	NCU00003.1
NCU00004	NCU00004.1
NCU00005	NCU00005.1
NCU00006	NCU00006.1
NCU00007	NCU00007.1
NCU00008	NCU00008.1
NCU00009	NCU00009.1
NCU00010	NCU00010.1
NCU00011	NCU00011.1
NCU00013	NCU00013.1
NCU00014	NCU00014.1
NCU00015	NCU00015.1
NCU00017	NCU00017.1
NCU00018	NCU00018.1
NCU00019	NCU00019.1
NCU00021	NCU00021.1
NCU00022	NCU00022.1
NCU00023	NCU00023.1
NCU00024	NCU00024.1
NCU00025	NCU00025.1
NCU00026	NCU00026.1
NCU00027	NCU00027.1
NCU00028	NCU00028.1
NCU00029	NCU00029.1
NCU00030	NCU00030.1
NCU00031	NCU00031.1
NCU00032	NCU00032.1
NCU00033	NCU00033.1
NCU00034	NCU00034.1
NCU00035	NCU00035.1
NCU00037	NCU00037.1
NCU00038	NCU00038.1
NCU00039	NCU00039.1
NCU00040	NCU00040.1
NCU00041	NCU00041.1
NCU00042	NCU00042.1
NCU00043	NCU00043.1
NCU00045	NCU00045.1
NCU00046	NCU00046.1
NCU00047	NCU00047.1
NCU00048	NCU00048.1
NCU00050	NCU00050.1
NCU00051	NCU00051.1
NCU00052	NCU00052.1
NCU00054	NCU00054.1
NCU00055	NCU00055.1
NCU00056	NCU00056.1
NCU00057	NCU00057.1
NCU16651	NCU00058.1
NCU16652	NCU00058.1
NCU00059	NCU00059.1
NCU00060	NCU00060.1
NCU00061	NCU00061.1
NCU00064	NCU00064.1
NCU00065	NCU00065.1
NCU00066	NCU00066.1
NCU00067	NCU00067.1
NCU00068	NCU00068.1
NCU00069	NCU00069.1
NCU00070	NCU00070.1
NCU00071	NCU00071.1
NCU00072	NCU00072.1
NCU00073	NCU00073.1
NCU00074	NCU00074.1
NCU00075	NCU00075.1
NCU00076	NCU00076.1
NCU00077	NCU00077.1
NCU00078	NCU00078.1
NCU00079	NCU00079.1
NCU00080	NCU00080.1
NCU00081	NCU00081.1
NCU00082	NCU00082.1
NCU00083	NCU00083.1
NCU00084	NCU00084.1
NCU00085	NCU00085.1
NCU00086	NCU00086.1
NCU00087	NCU00087.1
NCU00088	NCU00088.1
NCU00089	NCU00089.1
NCU00090	NCU00090.1
NCU00091	NCU00091.1
NCU00092	NCU00092.1
NCU00093	NCU00093.1
NCU00095	NCU00095.1
NCU00096	NCU00096.1
NCU00097	NCU00097.1
NCU00099	NCU00099.1
NCU00100	NCU00100.1
NCU00101	NCU00101.1
NCU00102	NCU00102.1
NCU00103	NCU00103.1
NCU00104	NCU00104.1
NCU00105	NCU00105.1
NCU00106	NCU00106.1
NCU00107	NCU00107.1
NCU00108	NCU00108.1
NCU00109	NCU00109.1
NCU00110	NCU00110.1
NCU00111	NCU00111.1
NCU00112	NCU00112.1
NCU16656	NCU00113.1
NCU16657	NCU00113.1
NCU00114	NCU00114.1
NCU00115	NCU00115.1
NCU00116	NCU00116.1
NCU00117	NCU00117.1
NCU00118	NCU00118.1
NCU00119	NCU00119.1
NCU00120	NCU00120.1
NCU00121	NCU00121.1
NCU00122	NCU00122.1
NCU00123	NCU00123.1
NCU00124	NCU00124.1
NCU00125	NCU00125.1
NCU00126	NCU00126.1
NCU00127	NCU00127.1
NCU00128	NCU00128.1
NCU00129	NCU00129.1
NCU00130	NCU00130.1
NCU00132	NCU00132.1
NCU00133	NCU00133.1
NCU00134	NCU00134.1
NCU00135	NCU00135.1
NCU00136	NCU00136.1
NCU00137	NCU00137.1
NCU00138	NCU00138.1
NCU00142	NCU00142.1
NCU00143	NCU00143.1
NCU00144	NCU00144.1
NCU00145	NCU00145.1
NCU00146	NCU00146.1
NCU00147	NCU00147.1
NCU00148	NCU00148.1
NCU00149	NCU00149.1
NCU00150	NCU00150.1
NCU00151	NCU00151.1
NCU00152	NCU00152.1
NCU00153	NCU00153.1
NCU00154	NCU00154.1
NCU00155	NCU00155.1
NCU00157	NCU00157.1
NCU00158	NCU00158.1
NCU00159	NCU00159.1
NCU00160	NCU00160.1
NCU00161	NCU00161.1
NCU00162	NCU00162.1
NCU00163	NCU00163.1
NCU00164	NCU00164.1
NCU11172	NCU00165.1
NCU11173	NCU00165.1
NCU00166	NCU00166.1
NCU00167	NCU00167.1
NCU00168	NCU00168.1
NCU00169	NCU00169.1
NCU00170	NCU00170.1
NCU00171	NCU00171.1
NCU00172	NCU00172.1
NCU00173	NCU00173.1
NCU00175	NCU00175.1
NCU00176	NCU00176.1
NCU00177	NCU00177.1
NCU00178	NCU00178.1
NCU00179	NCU00179.1
NCU00180	NCU00180.1
NCU00181	NCU00181.1
NCU00182	NCU00182.1
NCU00183	NCU00183.1
NCU00184	NCU00184.1
NCU00185	NCU00185.1
NCU00186	NCU00186.1
NCU00187	NCU00187.1
NCU00188	NCU00188.1
NCU00189	NCU00189.1
NCU00192	NCU00192.1
NCU00193	NCU00193.1
NCU00194	NCU00194.1
NCU00195	NCU00195.1
NCU00196	NCU00196.1
NCU00197	NCU00197.1
NCU00198	NCU00198.1
NCU00199	NCU00199.1
NCU00200	NCU00200.1
NCU00201	NCU00201.1
NCU00202	NCU00202.1
NCU00203	NCU00203.1
NCU00204	NCU00204.1
NCU00205	NCU00205.1
NCU00206	NCU00206.1
NCU00207	NCU00207.1
NCU00208	NCU00208.1
NCU00209	NCU00209.1
NCU00210	NCU00210.1
NCU00211	NCU00211.1
NCU00212	NCU00212.1
NCU00213	NCU00213.1
NCU00214	NCU00214.1
NCU00215	NCU00215.1
