geneid	ecnumber
NCU00677	EC:6.2.1.30
NCU01867	EC:3.2.1.4
NCU01993	EC:2.7.8.2
NCU07415	EC:3.4.11.5
NCU09123	EC:2.7.11.17
NCU09123	EC:2.7.11.1
NCU00959	EC:1.3.5.1
NCU02997	EC:3.5.1.41
NCU00927	EC:3.6.4.4
NCU00643	EC:1.1.1.12
NCU00643	EC:1.1.1.14
NCU16423	EC:3.1.11.2
NCU03010	EC:1.1.1.170
NCU03010	EC:1.2.1.31
NCU00761	EC:3.1.1.3
NCU01859	EC:1.6.5.3
NCU01859	EC:1.6.99.3
NCU00890	EC:3.2.1.25
NCU02771	EC:4.1.1.37
NCU00188	EC:2.7.11.1
NCU08216	EC:4.2.1.22
NCU08162	EC:4.3.2.1
NCU11088	EC:2.1.1.63
NCU08226	EC:2.4.1.212
NCU00447	EC:2.3.1.29
NCU00447	EC:2.3.1.50
NCU00112	EC:3.4.11.9
NCU00401	EC:2.1.1.33
NCU07378	EC:2.7.11.1
NCU09258	EC:2.7.11.21
NCU09258	EC:2.7.11.1
NCU04010	EC:2.3.1.39
NCU07880	EC:2.7.11.1
NCU08976	EC:2.3.1.119
NCU06472	EC:2.3.1.48
NCU07404	EC:3.2.1.24
NCU01797	EC:2.7.11.1
NCU01783	EC:2.4.1.198
NCU06760	EC:2.7.11.2
NCU01816	EC:3.5.3.4
NCU06780	EC:2.1.1.35
NCU08414	EC:2.7.11.1
NCU03777	EC:3.1.2.4
NCU08132	EC:2.4.1.183
NCU09565	EC:1.14.13.70
NCU09565	EC:1.14.13.88
NCU02281	EC:3.1.2.15
NCU02472	EC:1.6.5.3
NCU04395	EC:3.2.1.75
NCU04442	EC:5.1.3.2
NCU00088	EC:3.1.3.41
NCU09497	EC:1.14.19.6
NCU09497	EC:1.14.19.3
NCU06264	EC:6.5.1.1
NCU00434	EC:3.1.3.16
NCU06923	EC:3.4.11.18
NCU08126	EC:1.1.1.158
NCU17176	EC:4.1.2.37
NCU17176	EC:6.6.1.1
NCU02240	EC:3.2.1.4
NCU02393	EC:2.7.11.24
NCU02393	EC:2.7.11.1
NCU09819	EC:5.2.1.8
NCU09311	EC:2.1.1.31
NCU09975	EC:3.6.3.44
NCU00792	EC:2.6.1.42
NCU08514	EC:5.2.1.8
NCU01606	EC:3.6.3.14
NCU03488	EC:4.1.1.23
NCU09473	EC:1.1.1.100
NCU12120	EC:3.4.21.105
NCU05188	EC:1.14.13.7
NCU05259	EC:1.14.19.1
NCU05259	EC:1.14.99.-
NCU04885	EC:3.2.1.-
NCU07919	EC:2.1.1.6
NCU05268	EC:2.4.1.16
NCU05689	EC:1.9.3.1
NCU06512	EC:2.1.1.14
NCU02438	EC:2.3.1.61
NCU06870	EC:2.3.1.50
NCU10044	EC:5.3.1.5
NCU07446	EC:3.6.3.14
NCU05980	EC:3.4.16.6
NCU05984	EC:3.2.2.23
NCU05984	EC:4.2.99.18
NCU10733	EC:3.1.13.4
NCU05985	EC:2.3.1.42
NCU05985	EC:2.3.1.15
NCU07094	EC:1.14.13.20
NCU03632	EC:2.5.1.58
NCU03632	EC:2.5.1.59
NCU01050	EC:3.2.1.4
NCU03818	EC:3.6.3.1
NCU03802	EC:1.14.11.8
NCU03151	EC:1.11.1.15
NCU08336	EC:1.3.5.1
NCU03031	EC:1.3.5.1
NCU05404	EC:3.2.1.4
NCU03768	EC:3.5.1.1
NCU03768	EC:3.1.1.5
NCU04302	EC:6.3.2.19
NCU06421	EC:2.7.11.1
NCU02505	EC:6.4.1.1
NCU06006	EC:2.7.11.1
NCU05956	EC:3.2.1.23
NCU07926	EC:6.1.1.18
NCU06290	EC:1.3.3.11
NCU04334	EC:3.6.4.9
NCU09547	EC:3.1.2.15
NCU07242	EC:1.3.1.24
NCU07242	EC:1.5.1.30
NCU04306	EC:3.4.11.18
NCU04313	EC:2.1.2.9
NCU01157	EC:6.3.2.2
NCU01059	EC:3.2.1.113
NCU01255	EC:3.6.5.5
NCU02227	EC:3.5.1.16
NCU02289	EC:6.3.2.19
NCU05278	EC:1.14.13.17
NCU05700	EC:2.4.1.217
NCU08227	EC:3.2.1.4
NCU05828	EC:3.5.4.2
NCU00985	EC:3.2.1.23
NCU09135	EC:4.6.1.13
NCU01648	EC:2.4.1.109
NCU03544	EC:3.6.3.14
NCU06187	EC:4.3.2.2
NCU08995	EC:3.1.3.48
NCU02059	EC:3.4.23.21
NCU03243	EC:3.1.4.3
NCU11188	EC:2.7.11.1
NCU00772	EC:2.7.11.1
NCU09937	EC:3.2.1.101
NCU07281	EC:5.3.1.9
NCU00302	EC:1.1.1.102
NCU00426	EC:3.1.26.11
NCU10388	EC:5.2.1.8
NCU03559	EC:1.10.2.2
NCU05548	EC:2.5.1.54
NCU04720	EC:1.7.1.4
NCU01446	EC:2.4.2.9
NCU02397	EC:4.1.1.72
NCU02397	EC:4.1.1.74
NCU02397	EC:4.1.1.80
NCU02397	EC:4.1.1.43
NCU02397	EC:4.1.1.1
NCU06023	EC:4.2.1.10
NCU01546	EC:1.3.3.3
NCU09486	EC:3.2.1.98
NCU09486	EC:3.2.1.1
NCU01772	EC:2.7.7.6
NCU01512	EC:6.1.1.20
NCU04380	EC:6.2.1.3
NCU08291	EC:4.99.1.1
NCU06308	EC:2.7.7.6
NCU09304	EC:5.4.3.8
NCU09299	EC:1.6.5.3
NCU09567	EC:3.1.3.7
NCU02479	EC:6.3.1.2
NCU00636	EC:3.6.3.14
NCU03076	EC:1.5.1.12
