geneid	geneidv4
NCU15835	NCU10018.4
NCU15835	NCU10017.4
NCU10258	NCU11358.4
NCU10258	NCU11359.4
NCU15829	NCU07039.4
NCU15829	NCU07040.4
NCU15834	NCU01537.4
NCU15834	NCU01538.4
NCU15831	NCU00255.4
NCU15831	NCU00256.4
NCU01899	NCU01899.4
NCU01899	NCU11464.4
NCU04073	NCU12146.4
NCU04073	NCU12147.4
NCU10883	NCU11217.4
NCU10883	NCU11218.4
NCU07571	NCU07571.4
NCU15832	NCU07571.4
NCU04785	NCU04785.4
NCU06979	NCU06979.4
NCU04352	NCU04352.4
NCU04903	NCU04903.4
NCU04374	NCU04374.4
NCU16719	NCU11699.4
NCU08019	NCU08019.4
NCU05163	NCU05163.4
NCU07274	NCU07274.4
NCU04443	NCU04443.4
NCU09838	NCU09838.4
NCU07202	NCU07202.4
NCU09689	NCU09689.4
NCU01247	NCU01247.4
NCU01355	NCU11654.4
NCU09530	NCU09530.4
NCU03651	NCU03651.4
NCU03825	NCU03825.4
NCU01333	NCU01333.4
NCU06726	NCU06726.4
NCU04275	NCU04275.4
NCU06511	NCU06511.4
NCU06258	NCU06258.4
NCU00137	NCU11171.4
NCU00173	NCU00173.4
NCU00257	NCU11177.4
NCU05703	NCU05703.4
NCU06073	NCU06073.4
NCU02264	NCU02264.4
NCU09024	NCU09024.4
NCU06876	NCU06876.4
NCU06861	NCU06861.4
NCU02429	NCU02429.4
NCU02327	NCU02327.4
NCU08138	NCU08138.4
NCU02239	NCU02239.4
NCU09041	NCU09041.4
NCU02127	NCU02127.4
NCU00927	NCU00927.4
NCU00535	NCU00535.4
NCU00893	NCU00893.4
NCU01888	NCU01888.4
NCU02173	NCU02173.4
NCU05375	NCU05375.4
NCU05933	NCU05933.4
NCU03993	NCU03993.4
NCU05926	NCU05926.4
NCU04730	NCU04730.4
NCU04014	NCU04014.4
NCU09736	NCU09736.4
NCU07338	NCU07338.4
NCU05306	NCU05306.4
NCU07190	NCU07190.4
NCU07232	NCU07232.4
NCU03728	NCU03728.4
NCU04174	NCU04174.4
NCU04146	NCU04146.4
NCU09551	NCU09551.4
NCU03592	NCU03592.4
NCU10359	NCU10359.4
NCU04202	NCU04202.4
NCU11138	NCU11138.4
NCU03692	NCU03692.4
NCU01413	NCU01413.4
NCU08873	NCU08873.4
NCU03796	NCU03796.4
NCU04576	NCU04576.4
NCU03716	NCU03716.4
NCU09536	NCU09536.4
NCU01208	NCU01208.4
NCU08925	NCU08925.4
NCU01267	NCU01267.4
NCU11182	NCU11182.4
NCU16606	NCU11827.4
NCU00068	NCU00068.4
NCU09013	NCU09013.4
NCU00396	NCU00396.4
NCU08217	NCU08217.4
NCU00042	NCU00042.4
NCU02241	NCU02241.4
NCU06866	NCU06866.4
NCU02345	NCU02345.4
NCU11410	NCU11410.4
NCU02214	NCU02214.4
NCU05827	NCU05827.4
NCU10747	NCU10747.4
NCU02567	NCU02567.4
NCU02783	NCU10262.4
NCU00628	NCU00628.4
NCU08376	NCU08376.4
NCU09315	NCU09315.4
NCU07416	NCU07416.4
NCU08094	NCU08094.4
NCU02996	NCU02996.4
NCU09199	NCU09199.4
NCU00687	NCU00687.4
NCU03267	NCU03267.4
NCU09595	NCU09595.4
NCU05364	NCU05364.4
NCU06826	NCU06826.4
NCU03399	NCU03399.4
NCU17104	NCU12143.4
NCU07108	NCU07108.4
NCU10697	NCU10697.4
NCU05956	NCU05956.4
NCU05206	NCU05206.4
NCU08661	NCU08661.4
NCU05300	NCU05300.4
NCU03715	NCU03715.4
NCU09549	NCU09549.4
NCU04333	NCU04333.4
NCU07527	NCU07527.4
NCU00017	NCU00017.4
NCU06271	NCU06271.4
NCU16653	NCU11862.4
NCU06180	NCU06180.4
NCU07523	NCU07523.4
NCU05726	NCU05726.4
NCU02231	NCU02231.4
NCU02425	NCU02425.4
NCU06065	NCU06065.4
NCU05838	NCU05838.4
NCU06116	NCU06116.4
NCU00954	NCU00954.4
NCU00944	NCU00944.4
NCU01852	NCU11471.4
NCU00805	NCU00805.4
NCU03032	NCU03032.4
NCU02554	NCU02554.4
NCU08638	NCU08638.4
NCU03225	NCU03225.4
NCU08418	NCU08418.4
NCU08452	NCU08452.4
NCU05157	NCU05157.4
NCU09860	NCU09860.4
NCU09647	NCU09647.4
NCU16898	NCU11816.4
NCU05250	NCU05250.4
NCU04862	NCU04862.4
NCU07313	NCU07313.4
NCU07233	NCU07233.4
NCU01089	NCU01089.4
NCU09839	NCU09839.4
NCU03710	NCU03710.4
NCU01382	NCU01382.4
NCU01423	NCU01423.4
NCU08194	NCU08194.4
NCU06468	NCU06468.4
NCU07519	NCU07519.4
NCU06444	NCU06444.4
NCU09511	NCU09511.4
NCU07858	NCU07858.4
NCU06254	NCU06254.4
NCU07576	NCU07576.4
NCU08768	NCU08768.4
NCU06182	NCU06182.4
NCU10763	NCU10763.4
NCU05784	NCU05784.4
NCU08178	NCU08178.4
NCU09272	NCU09272.4
NCU09135	NCU09135.4
NCU02124	NCU02124.4
NCU00918	NCU00918.4
NCU02005	NCU02005.4
NCU09804	NCU09804.4
NCU02906	NCU02906.4
NCU01900	NCU01900.4
NCU02917	NCU02917.4
NCU08067	NCU08067.4
NCU00951	NCU00951.4
NCU01953	NCU01953.4
NCU03312	NCU03312.4
NCU05384	NCU05384.4
NCU01722	NCU01722.4
NCU01543	NCU01543.4
NCU03555	NCU03555.4
NCU05062	NCU05062.4
NCU05555	NCU05555.4
NCU04721	NCU04721.4
NCU04775	NCU04775.4
NCU05105	NCU05105.4
NCU05194	NCU05194.4
NCU08046	NCU08046.4
NCU16851	NCU11788.4
NCU01307	NCU01307.4
NCU06268	NCU06268.4
NCU00135	NCU00135.4
NCU09017	NCU09017.4
NCU00195	NCU00195.4
NCU17240	NCU12038.4
NCU06068	NCU06068.4
NCU08601	NCU08601.4
NCU02625	NCU02625.4
NCU07417	NCU07417.4
NCU00697	NCU00697.4
NCU09258	NCU09258.4
NCU02903	NCU02903.4
NCU01978	NCU01978.4
NCU11234	NCU11234.4
NCU16459	NCU11561.4
NCU03254	NCU03254.4
NCU00865	NCU00865.4
NCU01555	NCU01555.4
NCU03550	NCU03550.4
NCU08448	NCU08448.4
NCU08489	NCU08489.4
NCU01810	NCU01810.4
NCU03877	NCU03877.4
NCU03921	NCU03921.4
NCU05600	NCU05600.4
NCU07133	NCU07133.4
NCU04090	NCU04090.4
NCU16770	NCU11731.4
NCU05219	NCU05219.4
NCU07336	NCU07336.4
NCU07005	NCU07005.4
NCU07665	NCU07665.4
NCU06714	NCU06714.4
NCU01104	NCU01104.4
NCU01434	NCU01434.4
NCU04654	NCU04654.4
NCU06262	NCU06262.4
NCU00302	NCU00302.4
NCU00081	NCU00081.4
NCU00351	NCU00351.4
NCU00418	NCU00418.4
NCU09505	NCU11828.4
NCU17239	NCU12039.4
NCU06874	NCU06874.4
NCU09030	NCU09030.4
NCU02262	NCU02262.4
NCU08151	NCU08151.4
NCU04554	NCU04554.4
NCU02338	NCU02338.4
NCU00759	NCU00759.4
NCU07509	NCU07509.4
NCU03320	NCU03320.4
NCU07359	NCU07359.4
NCU00743	NCU00743.4
NCU08423	NCU08423.4
NCU03444	NCU11923.4
NCU09469	NCU09469.4
NCU09621	NCU09621.4
NCU05381	NCU05381.4
NCU05013	NCU05013.4
NCU05936	NCU05936.4
NCU04070	NCU04070.4
NCU05078	NCU05078.4
NCU08826	NCU08826.4
NCU16896	NCU11814.4
NCU04930	NCU04930.4
NCU06304	NCU06304.4
NCU10270	NCU10270.4
NCU11295	NCU11295.4
NCU07722	NCU07722.4
NCU08319	NCU08319.4
NCU04318	NCU04318.4
NCU01426	NCU01426.4
NCU09670	NCU11618.4
NCU07186	NCU07186.4
NCU07817	NCU07817.4
NCU10001	NCU10001.4
NCU09565	NCU09565.4
NCU17278	NCU12005.4
NCU08169	NCU08169.4
NCU08174	NCU08174.4
NCU09714	NCU09714.4
NCU10239	NCU10239.4
NCU02701	NCU02701.4
NCU00914	NCU00914.4
NCU00825	NCU00825.4
NCU03244	NCU03244.4
NCU00844	NCU00844.4
NCU02641	NCU02641.4
NCU00707	NCU00707.4
NCU08425	NCU08425.4
NCU01738	NCU01738.4
NCU01572	NCU01572.4
NCU09773	NCU09773.4
NCU11293	NCU11293.4
NCU05301	NCU05301.4
NCU07971	NCU07971.4
NCU01480	NCU01480.4
NCU04295	NCU04295.4
NCU09852	NCU09852.4
NCU04595	NCU04595.4
NCU06181	NCU06181.4
NCU00322	NCU00322.4
NCU09516	NCU09516.4
NCU00155	NCU00155.4
NCU08982	NCU08982.4
NCU02367	NCU02367.4
NCU07342	NCU07342.4
NCU03288	NCU03288.4
NCU03289	NCU03289.4
NCU00549	NCU00549.4
NCU02849	NCU02849.4
NCU03494	NCU03494.4
NCU05586	NCU05586.4
NCU05951	NCU05951.4
NCU03994	NCU03994.4
NCU05990	NCU05990.4
NCU05069	NCU05069.4
NCU08293	NCU08293.4
NCU07271	NCU07271.4
NCU07657	NCU07657.4
NCU05260	NCU05260.4
NCU07322	NCU07322.4
NCU05200	NCU05200.4
NCU01399	NCU01399.4
NCU04207	NCU04207.4
NCU04139	NCU04139.4
NCU07162	NCU07162.4
NCU01349	NCU01349.4
NCU06445	NCU06445.4
NCU06235	NCU06235.4
NCU00288	NCU00288.4
NCU06177	NCU06177.4
NCU06186	NCU06186.4
NCU09525	NCU09525.4
NCU00144	NCU00144.4
NCU11405	NCU11405.4
NCU10539	NCU10539.4
NCU06144	NCU06144.4
NCU02412	NCU02412.4
NCU02476	NCU02476.4
NCU02566	NCU02566.4
NCU00978	NCU00978.4
NCU09374	NCU09374.4
NCU02084	NCU02084.4
NCU03178	NCU03178.4
NCU02679	NCU02679.4
NCU11212	NCU11212.4
NCU09904	NCU09904.4
NCU02691	NCU02691.4
NCU10044	NCU10044.4
NCU16367	NCU11479.4
NCU16595	NCU11992.4
NCU10309	NCU10309.4
NCU01564	NCU01564.4
NCU05564	NCU05564.4
NCU03863	NCU03863.4
NCU16822	NCU11774.4
NCU07917	NCU07917.4
NCU10039	NCU10039.4
NCU08309	NCU08309.4
NCU04339	NCU04339.4
NCU04514	NCU04514.4
NCU03699	NCU03699.4
NCU08850	NCU08850.4
NCU04332	NCU04332.4
NCU04211	NCU04211.4
NCU10641	NCU10641.4
NCU06877	NCU06877.4
NCU17274	NCU12008.4
NCU06122	NCU06122.4
NCU05885	NCU05885.4
NCU09032	NCU09032.4
NCU02699	NCU02699.4
NCU02613	NCU02613.4
NCU08341	NCU08341.4
NCU07411	NCU07411.4
NCU00929	NCU00929.4
NCU02496	NCU02496.4
NCU02670	NCU02670.4
NCU16443	NCU11543.4
NCU01965	NCU01965.4
NCU08512	NCU08512.4
NCU03527	NCU03527.4
NCU01665	NCU11959.4
NCU01750	NCU01750.4
NCU03480	NCU03480.4
NCU01542	NCU01542.4
NCU04757	NCU04757.4
NCU05964	NCU05964.4
NCU07268	NCU07268.4
NCU07891	NCU07891.4
NCU07671	NCU07671.4
NCU06345	NCU06345.4
NCU01465	NCU01465.4
NCU16947	NCU11621.4
NCU00362	NCU00362.4
NCU09018	NCU09018.4
NCU00833	NCU00833.4
NCU09888	NCU09888.4
NCU01932	NCU01932.4
NCU00800	NCU00800.4
NCU02819	NCU02819.4
NCU16500	NCU11910.4
NCU05460	NCU05460.4
NCU01782	NCU01782.4
NCU08701	NCU08701.4
NCU04776	NCU04776.4
NCU05308	NCU05308.4
NCU06305	NCU06305.4
NCU08022	NCU08022.4
NCU04251	NCU04251.4
NCU01039	NCU01039.4
NCU04322	NCU04322.4
NCU01121	NCU01121.4
NCU07753	NCU07753.4
NCU00338	NCU00338.4
NCU00400	NCU00400.4
NCU00054	NCU00054.4
NCU09325	NCU09325.4
NCU02018	NCU02018.4
NCU08611	NCU08611.4
NCU02909	NCU02909.4
NCU07440	NCU07440.4
NCU08468	NCU08468.4
NCU01784	NCU01784.4
NCU05417	NCU05417.4
NCU06799	NCU06799.4
NCU05605	NCU05605.4
NCU03952	NCU03952.4
NCU05583	NCU05583.4
NCU05939	NCU05939.4
NCU04996	NCU04996.4
NCU07294	NCU07294.4
NCU07947	NCU07947.4
NCU11146	NCU11146.4
NCU05244	NCU05244.4
NCU05266	NCU05266.4
NCU06628	NCU06628.4
NCU04506	NCU04506.4
NCU04229	NCU04229.4
NCU01219	NCU01219.4
NCU03605	NCU03605.4
NCU04323	NCU04323.4
NCU07172	NCU07172.4
NCU01156	NCU01156.4
NCU09844	NCU09844.4
NCU01055	NCU01055.4
NCU01010	NCU01010.4
NCU04326	NCU04326.4
NCU00180	NCU00180.4
NCU05750	NCU05750.4
NCU08087	NCU08087.4
NCU02511	NCU02511.4
NCU00749	NCU00749.4
NCU00512	NCU00512.4
NCU08733	NCU08733.4
NCU06787	NCU06787.4
NCU01598	NCU01598.4
NCU01715	NCU01715.4
NCU04723	NCU04723.4
NCU07134	NCU07134.4
NCU05123	NCU05123.4
NCU03864	NCU03864.4
NCU04738	NCU04738.4
NCU04883	NCU04883.4
NCU07267	NCU07267.4
NCU08688	NCU08688.4
NCU06624	NCU06624.4
NCU05242	NCU05242.4
NCU04364	NCU04364.4
NCU01206	NCU01206.4
NCU04196	NCU04196.4
NCU01277	NCU01277.4
NCU04676	NCU04676.4
NCU06449	NCU06449.4
NCU06860	NCU06860.4
NCU11409	NCU11409.4
NCU02897	NCU02897.4
NCU03022	NCU03022.4
NCU01893	NCU01893.4
NCU00611	NCU00611.4
NCU09894	NCU09894.4
NCU16380	NCU11496.4
NCU01850	NCU01850.4
NCU02515	NCU02515.4
NCU16382	NCU11498.4
NCU03059	NCU03059.4
NCU09360	NCU09360.4
NCU08737	NCU08737.4
NCU05501	NCU05501.4
NCU05577	NCU05577.4
NCU05014	NCU05014.4
NCU05040	NCU05040.4
NCU07049	NCU07049.4
NCU09930	NCU09930.4
NCU07335	NCU07335.4
NCU07011	NCU07011.4
NCU04497	NCU04497.4
NCU08316	NCU08316.4
NCU07984	NCU07984.4
NCU09556	NCU09556.4
NCU08907	NCU08907.4
NCU04154	NCU04154.4
NCU07192	NCU07192.4
NCU09260	NCU09260.4
NCU09129	NCU09129.4
NCU09233	NCU09233.4
NCU00848	NCU00848.4
NCU08617	NCU08617.4
NCU02692	NCU02692.4
NCU00837	NCU00837.4
NCU11252	NCU11252.4
NCU09200	NCU09200.4
NCU08480	NCU08480.4
NCU08449	NCU08449.4
NCU06801	NCU06801.4
NCU03435	NCU03435.4
NCU08294	NCU08294.4
NCU06368	NCU06368.4
NCU08040	NCU08040.4
NCU07664	NCU07664.4
NCU05265	NCU05265.4
NCU08011	NCU08011.4
NCU08889	NCU08889.4
NCU04242	NCU04242.4
NCU01418	NCU01418.4
NCU06069	NCU06069.4
NCU08113	NCU08113.4
NCU09214	NCU09214.4
NCU11186	NCU11186.4
NCU03085	NCU03085.4
NCU16394	NCU11507.4
NCU00621	NCU00621.4
NCU02656	NCU02656.4
NCU05425	NCU05425.4
NCU06851	NCU06851.4
NCU10392	NCU10392.4
NCU03514	NCU03514.4
NCU03496	NCU03496.4
NCU09350	NCU09350.4
NCU09873	NCU09873.4
NCU05149	NCU05149.4
NCU07001	NCU07001.4
NCU04520	NCU04520.4
NCU08023	NCU08023.4
NCU06996	NCU06996.4
NCU06525	NCU06525.4
NCU07666	NCU07666.4
NCU04662	NCU04662.4
NCU06660	NCU06660.4
NCU04131	NCU04131.4
NCU04600	NCU04600.4
NCU01109	NCU01109.4
NCU01475	NCU01475.4
NCU07860	NCU07860.4
NCU00034	NCU00034.4
NCU00134	NCU11169.4
NCU00153	NCU00153.4
NCU00069	NCU00069.4
NCU02456	NCU02456.4
NCU02361	NCU02361.4
NCU02245	NCU02245.4
NCU09573	NCU09573.4
NCU02404	NCU02404.4
NCU05820	NCU05820.4
NCU02460	NCU11387.4
NCU06930	NCU06930.4
NCU02428	NCU02428.4
NCU02583	NCU02583.4
NCU00959	NCU00959.4
NCU02121	NCU02121.4
NCU00609	NCU00609.4
NCU02712	NCU02712.4
NCU16432	NCU11536.4
NCU01962	NCU01962.4
NCU05433	NCU05433.4
NCU10346	NCU10346.4
NCU10036	NCU10036.4
NCU05074	NCU05074.4
NCU04726	NCU04726.4
NCU09869	NCU09869.4
NCU06618	NCU06618.4
NCU05214	NCU05214.4
NCU06341	NCU06341.4
NCU07255	NCU07255.4
NCU01453	NCU11667.4
NCU07798	NCU07798.4
NCU09686	NCU09686.4
NCU04652	NCU04652.4
NCU04650	NCU04650.4
NCU08899	NCU08899.4
NCU06467	NCU06467.4
NCU11314	NCU11314.4
NCU06440	NCU06440.4
NCU00317	NCU00317.4
NCU05715	NCU05715.4
NCU05796	NCU05796.4
NCU09050	NCU09050.4
NCU09990	NCU09990.4
