geneid	pubmedid	annotationmethod	annotationsource
NCU00104	19696111	Manual	Broad_CAP
NCU00104	22462823	Manual	Broad_CAP
NCU00104	22626843	Manual	Broad_CAP
NCU00104	23589521	Manual	Broad_CAP
NCU00105	19696111	Manual	Broad_CAP
NCU00105	22152473	Manual	Broad_CAP
NCU00105	23589521	Manual	Broad_CAP
NCU00105	24037267	Manual	Broad_CAP
NCU00106	19696111	Manual	Broad_CAP
NCU00106	23733042	Manual	Broad_CAP
NCU00107	23125351	Manual	Broad_CAP
NCU00108	15007097	Manual	Broad_CAP
NCU00108	21965514	Manual	Broad_CAP
NCU00108	23125351	Manual	Broad_CAP
NCU00109	19520721	Manual	Broad_CAP
NCU00109	23125351	Manual	Broad_CAP
NCU00111	19696111	Manual	Broad_CAP
NCU00111	22345350	Manual	Broad_CAP
NCU00111	23589521	Manual	Broad_CAP
NCU00111	23733042	Manual	Broad_CAP
NCU00112	19696111	Manual	Broad_CAP
NCU00116	19520721	Manual	Broad_CAP
NCU00116	16287898	Manual	Broad_CAP
NCU00116	19696111	Manual	Broad_CAP
NCU00119	22469835	Manual	Broad_CAP
NCU00121	21695121	Manual	Broad_CAP
NCU00121	22152473	Manual	Broad_CAP
NCU00122	19696111	Manual	Broad_CAP
NCU00122	22001287	Manual	Broad_CAP
NCU00122	22345350	Manual	Broad_CAP
NCU00124	19520721	Manual	Broad_CAP
NCU00124	20018766	Manual	Broad_CAP
NCU00124	19696111	Manual	Broad_CAP
NCU00124	22001287	Manual	Broad_CAP
NCU00124	22345350	Manual	Broad_CAP
NCU00125	20675579	Manual	Broad_CAP
NCU00125	22152473	Manual	Broad_CAP
NCU00127	19696111	Manual	Broad_CAP
NCU00127	22462823	Manual	Broad_CAP
NCU00127	23186325	Manual	Broad_CAP
NCU00129	22345350	Manual	Broad_CAP
NCU00130	20018766	Manual	Broad_CAP
NCU00130	19696111	Manual	Broad_CAP
NCU00130	21705527	Manual	Broad_CAP
NCU00130	21980519	Manual	Broad_CAP
NCU00130	22345350	Manual	Broad_CAP
NCU00130	22384058	Manual	Broad_CAP
NCU00130	22462823	Manual	Broad_CAP
NCU00130	22474347	Manual	Broad_CAP
NCU00130	22532664	Manual	Broad_CAP
NCU00130	23263959	Manual	Broad_CAP
NCU00130	23417805	Manual	Broad_CAP
NCU00130	23589521	Manual	Broad_CAP
NCU00130	23766336	Manual	Broad_CAP
NCU00130	23844185	Manual	Broad_CAP
NCU00130	24162785	Manual	Broad_CAP
NCU00132	22626843	Manual	Broad_CAP
NCU00135	19696111	Manual	Broad_CAP
NCU00135	22469835	Manual	Broad_CAP
NCU00135	23589521	Manual	Broad_CAP
NCU00137	24037267	Manual	Broad_CAP
NCU00138	11738813	Manual	Broad_CAP
NCU00138	15007097	Manual	Broad_CAP
NCU00138	15186425	Manual	Broad_CAP
NCU00138	16524909	Manual	Broad_CAP
NCU00138	22298702	Manual	Broad_CAP
NCU00138	22626843	Manual	Broad_CAP
NCU00138	22848070	Manual	Broad_CAP
NCU00138	23186325	Manual	Broad_CAP
NCU00138	24022114	Manual	Broad_CAP
NCU00138	24037267	Manual	Broad_CAP
NCU00142	22152473	Manual	Broad_CAP
NCU00142	22345350	Manual	Broad_CAP
