geneid	geneidv5
NCU05600	NCU05600.5
NCU07133	NCU07133.5
NCU04090	NCU04090.5
NCU16770	NCU11706.5
NCU05219	NCU05219.5
NCU07336	NCU07336.5
NCU07005	NCU07005.5
NCU07665	NCU07665.5
NCU06714	NCU06714.5
NCU01104	NCU01104.5
NCU01434	NCU01434.5
NCU04654	NCU04654.5
NCU06262	NCU06262.5
NCU00302	NCU00302.5
NCU00081	NCU00081.5
NCU00351	NCU00351.5
NCU00418	NCU00418.5
NCU09505	NCU09505.5
NCU17239	NCU12004.5
NCU06874	NCU06874.5
NCU09030	NCU09030.5
NCU02262	NCU02262.5
NCU08151	NCU08151.5
NCU04554	NCU04554.5
NCU02338	NCU02338.5
NCU00759	NCU00759.5
NCU07509	NCU07509.5
NCU03320	NCU03320.5
NCU07359	NCU07359.5
NCU00743	NCU00743.5
NCU08423	NCU08423.5
NCU03444	NCU03444.5
NCU09469	NCU09469.5
NCU09621	NCU09621.5
NCU05381	NCU05381.5
NCU05013	NCU05013.5
NCU05936	NCU05936.5
NCU04070	NCU04070.5
NCU05078	NCU05078.5
NCU08826	NCU08826.5
NCU16896	NCU11781.5
NCU04930	NCU04930.5
NCU06304	NCU06304.5
NCU10270	NCU10270.5
NCU11295	NCU11295.5
NCU07722	NCU07722.5
NCU08319	NCU08319.5
NCU04318	NCU04318.5
NCU01426	NCU01426.5
NCU09670	NCU09670.5
NCU07186	NCU07186.5
NCU07817	NCU07817.5
NCU10001	NCU10001.5
NCU09565	NCU09565.5
NCU17278	NCU11975.5
NCU08169	NCU08169.5
NCU08174	NCU08174.5
NCU09714	NCU09714.5
NCU10239	NCU10239.5
NCU02701	NCU02701.5
NCU00914	NCU00914.5
NCU00825	NCU00825.5
NCU03244	NCU03244.5
NCU00844	NCU00844.5
NCU02641	NCU02641.5
NCU00707	NCU00707.5
NCU08425	NCU08425.5
NCU01738	NCU01738.5
NCU01572	NCU01572.5
NCU09773	NCU09773.5
NCU11293	NCU11293.5
NCU05301	NCU05301.5
NCU07971	NCU07971.5
NCU01480	NCU01480.5
NCU04295	NCU04295.5
NCU09852	NCU09852.5
NCU04595	NCU04595.5
NCU06181	NCU06181.5
NCU00322	NCU00322.5
NCU09516	NCU09516.5
NCU00155	NCU00155.5
NCU08982	NCU08982.5
NCU02367	NCU02367.5
NCU07342	NCU07342.5
NCU03288	NCU03288.5
NCU03289	NCU03289.5
NCU00549	NCU00549.5
NCU02849	NCU02849.5
NCU03494	NCU03494.5
NCU05586	NCU05586.5
NCU05951	NCU05951.5
NCU03994	NCU03994.5
NCU05990	NCU05990.5
NCU05069	NCU05069.5
NCU08293	NCU08293.5
NCU07271	NCU07271.5
NCU07657	NCU07657.5
NCU05260	NCU05260.5
NCU07322	NCU07322.5
NCU05200	NCU05200.5
NCU01399	NCU01399.5
NCU04207	NCU04207.5
NCU04139	NCU04139.5
NCU07162	NCU07162.5
NCU01349	NCU01349.5
NCU06445	NCU06445.5
NCU06235	NCU06235.5
NCU00288	NCU00288.5
NCU06177	NCU06177.5
NCU06186	NCU06186.5
NCU09525	NCU09525.5
NCU00144	NCU00144.5
NCU11405	NCU11405.5
NCU10539	NCU10539.5
NCU06144	NCU06144.5
NCU02412	NCU02412.5
NCU02476	NCU02476.5
NCU02566	NCU02566.5
NCU00978	NCU00978.5
NCU09374	NCU09374.5
NCU02084	NCU02084.5
NCU03178	NCU03178.5
NCU02679	NCU02679.5
NCU11212	NCU11212.5
NCU09904	NCU09904.5
NCU02691	NCU02691.5
NCU10044	NCU10044.5
NCU16367	NCU11476.5
NCU16595	NCU11962.5
NCU10309	NCU10309.5
NCU01564	NCU01564.5
NCU05564	NCU05564.5
NCU03863	NCU03863.5
NCU16822	NCU11745.5
NCU07917	NCU07917.5
NCU10039	NCU10039.5
NCU08309	NCU08309.5
NCU04339	NCU04339.5
NCU04514	NCU04514.5
NCU03699	NCU03699.5
NCU08850	NCU08850.5
NCU04332	NCU04332.5
NCU04211	NCU04211.5
NCU10641	NCU10641.5
NCU06877	NCU06877.5
NCU17274	NCU11978.5
NCU06122	NCU06122.5
NCU05885	NCU05885.5
NCU09032	NCU09032.5
NCU02699	NCU02699.5
NCU02613	NCU02613.5
NCU08341	NCU08341.5
NCU07411	NCU07411.5
NCU00929	NCU00929.5
NCU02496	NCU02496.5
NCU02670	NCU02670.5
NCU16443	NCU11531.5
NCU01965	NCU01965.5
NCU08512	NCU08512.5
NCU03527	NCU03527.5
NCU01665	NCU01665.5
NCU01750	NCU01750.5
NCU03480	NCU03480.5
NCU01542	NCU01542.5
NCU04757	NCU04757.5
NCU05964	NCU05964.5
NCU07268	NCU07268.5
NCU07891	NCU07891.5
NCU07671	NCU07671.5
NCU06345	NCU06345.5
NCU01465	NCU01465.5
NCU16947	NCU11600.5
NCU00362	NCU00362.5
NCU09018	NCU09018.5
NCU00833	NCU00833.5
NCU09888	NCU09888.5
NCU01932	NCU01932.5
NCU00800	NCU00800.5
NCU02819	NCU02819.5
NCU16500	NCU11879.5
NCU05460	NCU05460.5
NCU01782	NCU01782.5
NCU08701	NCU08701.5
NCU04776	NCU04776.5
NCU05308	NCU05308.5
NCU06305	NCU06305.5
NCU08022	NCU08022.5
NCU04251	NCU04251.5
NCU01039	NCU01039.5
NCU04322	NCU04322.5
NCU01121	NCU01121.5
NCU07753	NCU07753.5
NCU00338	NCU00338.5
NCU00400	NCU00400.5
NCU00054	NCU00054.5
NCU09325	NCU09325.5
NCU02018	NCU02018.5
NCU08611	NCU08611.5
NCU02909	NCU02909.5
NCU07440	NCU07440.5
NCU08468	NCU08468.5
NCU01784	NCU01784.5
NCU05417	NCU05417.5
NCU06799	NCU06799.5
NCU05605	NCU05605.5
NCU03952	NCU03952.5
NCU05583	NCU05583.5
NCU05939	NCU05939.5
NCU04996	NCU04996.5
NCU07294	NCU07294.5
NCU07947	NCU07947.5
NCU11146	NCU11146.5
NCU05244	NCU05244.5
NCU05266	NCU05266.5
NCU06628	NCU06628.5
NCU04506	NCU04506.5
NCU04229	NCU04229.5
NCU01219	NCU01219.5
NCU03605	NCU03605.5
NCU04323	NCU04323.5
NCU07172	NCU07172.5
NCU01156	NCU01156.5
NCU09844	NCU09844.5
NCU01055	NCU01055.5
NCU01010	NCU01010.5
NCU04326	NCU04326.5
NCU00180	NCU00180.5
NCU05750	NCU05750.5
NCU08087	NCU08087.5
NCU02511	NCU02511.5
NCU00749	NCU00749.5
NCU00512	NCU00512.5
NCU08733	NCU08733.5
NCU06787	NCU06787.5
NCU01598	NCU01598.5
NCU01715	NCU01715.5
NCU04723	NCU04723.5
NCU07134	NCU07134.5
NCU05123	NCU05123.5
NCU03864	NCU03864.5
NCU04738	NCU04738.5
NCU04883	NCU04883.5
NCU07267	NCU07267.5
NCU08688	NCU08688.5
NCU06624	NCU06624.5
NCU05242	NCU05242.5
NCU04364	NCU04364.5
NCU01206	NCU01206.5
NCU04196	NCU04196.5
NCU01277	NCU01277.5
NCU04676	NCU04676.5
NCU06449	NCU06449.5
NCU06860	NCU06860.5
NCU11409	NCU11409.5
NCU02897	NCU02897.5
NCU03022	NCU03022.5
NCU01893	NCU01893.5
NCU00611	NCU00611.5
NCU09894	NCU09894.5
NCU16380	NCU11490.5
NCU01850	NCU01850.5
NCU02515	NCU02515.5
NCU16382	NCU11492.5
NCU03059	NCU03059.5
NCU09360	NCU09360.5
NCU08737	NCU08737.5
NCU05501	NCU05501.5
NCU05577	NCU05577.5
NCU05014	NCU05014.5
NCU05040	NCU05040.5
NCU07049	NCU07049.5
NCU09930	NCU09930.5
NCU07335	NCU07335.5
NCU07011	NCU07011.5
NCU04497	NCU04497.5
NCU08316	NCU08316.5
NCU07984	NCU07984.5
NCU09556	NCU09556.5
NCU08907	NCU08907.5
NCU04154	NCU04154.5
NCU07192	NCU07192.5
NCU09260	NCU09260.5
NCU09129	NCU09129.5
NCU09233	NCU09233.5
NCU00848	NCU00848.5
NCU08617	NCU08617.5
NCU02692	NCU02692.5
NCU00837	NCU00837.5
NCU11252	NCU11252.5
NCU09200	NCU09200.5
NCU08480	NCU08480.5
NCU08449	NCU08449.5
NCU06801	NCU06801.5
NCU03435	NCU03435.5
NCU08294	NCU08294.5
NCU06368	NCU06368.5
NCU08040	NCU08040.5
NCU07664	NCU07664.5
NCU05265	NCU05265.5
NCU08011	NCU08011.5
NCU08889	NCU08889.5
NCU04242	NCU04242.5
NCU01418	NCU01418.5
NCU06069	NCU06069.5
NCU08113	NCU08113.5
NCU09214	NCU09214.5
NCU11186	NCU11186.5
NCU03085	NCU03085.5
NCU16394	NCU11500.5
NCU00621	NCU00621.5
NCU02656	NCU02656.5
NCU05425	NCU05425.5
NCU06851	NCU06851.5
NCU10392	NCU10392.5
NCU03514	NCU03514.5
NCU03496	NCU03496.5
NCU09350	NCU09350.5
NCU09873	NCU09873.5
NCU05149	NCU05149.5
NCU07001	NCU07001.5
NCU04520	NCU04520.5
NCU08023	NCU08023.5
NCU06996	NCU06996.5
NCU06525	NCU06525.5
NCU07666	NCU07666.5
NCU04662	NCU04662.5
NCU06660	NCU06660.5
NCU04131	NCU04131.5
NCU04600	NCU04600.5
NCU01109	NCU01109.5
NCU01475	NCU01475.5
NCU07860	NCU07860.5
NCU00034	NCU00034.5
NCU00134	NCU00134.5
NCU00153	NCU00153.5
NCU00069	NCU00069.5
NCU02456	NCU02456.5
NCU02361	NCU02361.5
NCU02245	NCU02245.5
NCU09573	NCU09573.5
NCU02404	NCU02404.5
NCU05820	NCU05820.5
NCU02460	NCU02460.5
NCU06930	NCU06930.5
NCU02428	NCU02428.5
NCU02583	NCU02583.5
NCU00959	NCU00959.5
NCU02121	NCU02121.5
NCU00609	NCU00609.5
NCU02712	NCU02712.5
NCU16432	NCU11525.5
NCU01962	NCU01962.5
NCU05433	NCU05433.5
NCU10346	NCU10346.5
NCU10036	NCU10036.5
NCU05074	NCU05074.5
NCU04726	NCU04726.5
NCU09869	NCU09869.5
NCU06618	NCU06618.5
NCU05214	NCU05214.5
NCU06341	NCU06341.5
NCU07255	NCU07255.5
NCU01453	NCU01453.5
NCU07798	NCU07798.5
NCU09686	NCU09686.5
NCU04652	NCU04652.5
NCU04650	NCU04650.5
NCU08899	NCU08899.5
NCU06467	NCU06467.5
NCU11314	NCU11314.5
NCU06440	NCU06440.5
NCU00317	NCU00317.5
NCU05715	NCU05715.5
NCU05796	NCU05796.5
NCU09050	NCU09050.5
NCU09990	NCU09990.5
NCU02193	NCU02193.5
NCU09570	NCU09570.5
NCU02588	NCU02588.5
NCU07413	NCU07413.5
NCU08355	NCU08355.5
NCU01977	NCU01977.5
NCU08066	NCU08066.5
NCU01918	NCU01918.5
NCU00515	NCU00515.5
NCU02542	NCU02542.5
NCU09079	NCU09079.5
NCU00931	NCU00931.5
NCU11426	NCU11426.5
NCU01548	NCU01548.5
NCU05526	NCU05526.5
NCU08331	NCU08331.5
NCU07703	NCU07703.5
NCU07326	NCU07326.5
NCU06382	NCU06382.5
NCU09693	NCU09693.5
NCU09823	NCU09823.5
NCU17019	NCU11641.5
NCU07745	NCU07745.5
NCU04290	NCU04290.5
NCU05718	NCU05718.5
NCU06191	NCU06191.5
NCU09152	NCU09152.5
NCU00028	NCU00028.5
NCU00468	NCU00468.5
NCU10169	NCU10169.5
NCU00207	NCU00207.5
NCU00277	NCU00277.5
NCU00480	NCU00480.5
NCU06030	NCU06030.5
NCU09271	NCU09271.5
NCU06025	NCU06025.5
NCU00575	NCU00575.5
NCU00845	NCU00845.5
NCU01878	NCU01878.5
NCU03314	NCU03314.5
NCU03099	NCU03099.5
NCU01958	NCU01958.5
NCU00710	NCU00710.5
NCU02532	NCU02532.5
NCU07425	NCU07425.5
NCU02150	NCU02150.5
NCU01976	NCU01976.5
NCU01678	NCU01678.5
NCU06832	NCU06832.5
NCU08440	NCU08440.5
NCU03965	NCU03965.5
NCU04791	NCU04791.5
NCU03870	NCU03870.5
NCU10477	NCU10477.5
NCU03894	NCU03894.5
NCU08686	NCU08686.5
NCU07724	NCU07724.5
NCU07343	NCU07343.5
NCU05232	NCU05232.5
NCU07694	NCU07694.5
NCU06315	NCU06315.5
NCU04149	NCU04149.5
NCU03804	NCU03804.5
NCU01283	NCU01283.5
NCU04096	NCU04096.5
NCU01057	NCU01057.5
NCU08227	NCU08227.5
NCU08564	NCU08564.5
NCU00239	NCU00239.5
NCU00376	NCU00376.5
NCU08224	NCU08224.5
NCU00080	NCU00080.5
NCU02409	NCU02409.5
NCU06077	NCU06077.5
NCU02265	NCU02265.5
NCU02283	NCU02283.5
NCU06049	NCU06049.5
NCU02316	NCU02316.5
NCU08380	NCU08380.5
NCU00916	NCU00916.5
NCU02528	NCU02528.5
NCU10789	NCU10789.5
NCU00699	NCU00699.5
NCU08637	NCU08637.5
NCU09118	NCU09118.5
NCU02733	NCU02733.5
NCU02750	NCU02750.5
NCU02639	NCU02639.5
NCU00897	NCU00897.5
NCU01613	NCU01613.5
NCU05539	NCU05539.5
NCU03928	NCU03928.5
NCU04994	NCU04994.5
NCU05968	NCU05968.5
NCU10046	NCU10046.5
NCU05199	NCU05199.5
NCU04403	NCU04403.5
NCU16769	NCU11705.5
NCU11347	NCU11347.5
NCU06314	NCU06314.5
NCU06319	NCU06319.5
NCU07604	NCU07604.5
NCU06593	NCU06593.5
NCU03816	NCU03816.5
NCU01366	NCU01366.5
NCU01270	NCU01270.5
NCU00237	NCU00237.5
NCU06406	NCU06406.5
NCU08998	NCU08998.5
NCU00289	NCU00289.5
NCU06454	NCU06454.5
NCU00223	NCU00223.5
NCU09162	NCU09162.5
NCU00497	NCU00497.5
NCU08136	NCU08136.5
NCU02254	NCU02254.5
NCU11000	NCU11000.5
NCU06927	NCU06927.5
NCU09560	NCU09560.5
NCU17281	NCU11974.5
NCU05833	NCU05833.5
NCU08367	NCU08367.5
NCU07401	NCU07401.5
NCU02556	NCU02556.5
NCU02738	NCU02738.5
NCU11251	NCU11251.5
NCU09310	NCU09310.5
NCU09971	NCU09971.5
NCU00772	NCU00772.5
NCU08091	NCU08091.5
NCU01788	NCU01788.5
NCU08726	NCU08726.5
NCU01701	NCU01701.5
NCU06766	NCU06766.5
NCU03421	NCU03421.5
NCU05356	NCU05356.5
NCU16498	NCU11878.5
NCU04823	NCU04823.5
NCU05988	NCU05988.5
NCU04808	NCU04808.5
NCU08650	NCU08650.5
NCU06401	NCU06401.5
NCU06389	NCU06389.5
NCU08000	NCU08000.5
NCU04194	NCU04194.5
NCU01036	NCU01036.5
NCU03641	NCU03641.5
NCU01456	NCU01456.5
NCU04132	NCU04132.5
NCU04292	NCU04292.5
NCU08986	NCU08986.5
NCU09005	NCU09005.5
NCU00006	NCU00006.5
NCU11292	NCU11292.5
NCU05728	NCU05728.5
NCU02194	NCU02194.5
NCU06863	NCU06863.5
NCU10015	NCU10015.5
NCU05836	NCU05836.5
NCU08149	NCU08149.5
NCU06037	NCU06037.5
NCU02389	NCU02389.5
NCU16448	NCU11538.5
NCU09104	NCU09104.5
NCU02752	NCU02752.5
NCU00994	NCU00994.5
NCU03265	NCU03265.5
NCU09112	NCU09112.5
NCU02608	NCU02608.5
NCU03290	NCU03290.5
NCU09202	NCU09202.5
NCU02092	NCU02092.5
NCU09874	NCU09874.5
NCU03054	NCU03054.5
NCU01754	NCU01754.5
NCU10809	NCU10809.5
NCU09627	NCU09627.5
NCU01489	NCU01489.5
NCU03386	NCU03386.5
NCU04991	NCU04991.5
NCU05131	NCU05131.5
NCU09861	NCU09861.5
NCU04486	NCU04486.5
NCU07983	NCU07983.5
NCU16793	NCU11723.5
NCU05291	NCU05291.5
NCU07927	NCU07927.5
NCU03675	NCU03675.5
NCU01378	NCU01378.5
NCU04607	NCU04607.5
NCU08949	NCU08949.5
NCU03657	NCU03657.5
NCU16659	NCU11835.5
NCU06220	NCU06220.5
NCU06201	NCU06201.5
NCU07544	NCU07544.5
NCU02310	NCU02310.5
NCU02281	NCU02281.5
NCU09036	NCU09036.5
NCU02397	NCU02397.5
NCU05840	NCU05840.5
NCU02450	NCU02450.5
NCU03063	NCU03063.5
NCU02858	NCU02858.5
NCU03220	NCU03220.5
NCU16396	NCU11501.5
NCU03275	NCU03275.5
NCU02120	NCU02120.5
NCU07485	NCU07485.5
NCU01926	NCU01926.5
NCU01534	NCU01534.5
NCU01668	NCU01668.5
NCU03526	NCU03526.5
NCU05354	NCU05354.5
NCU04834	NCU04834.5
NCU04340	NCU04340.5
NCU04498	NCU04498.5
NCU04347	NCU04347.5
NCU09746	NCU09746.5
NCU08317	NCU08317.5
NCU04101	NCU04101.5
NCU16966	NCU11609.5
NCU03698	NCU03698.5
NCU05723	NCU05723.5
NCU00320	NCU00320.5
NCU00246	NCU00246.5
NCU00166	NCU00166.5
NCU02432	NCU02432.5
NCU05625	NCU05625.5
NCU07341	NCU07341.5
NCU00616	NCU00616.5
NCU00505	NCU00505.5
NCU09975	NCU09975.5
NCU08362	NCU08362.5
NCU00689	NCU00689.5
NCU00579	NCU00579.5
NCU00751	NCU00751.5
NCU03337	NCU03337.5
NCU06791	NCU06791.5
NCU03418	NCU03418.5
NCU05392	NCU05392.5
NCU03854	NCU03854.5
NCU07127	NCU07127.5
NCU05083	NCU05083.5
NCU05243	NCU05243.5
NCU06999	NCU06999.5
NCU07042	NCU07042.5
NCU05195	NCU05195.5
NCU03750	NCU03750.5
NCU06716	NCU06716.5
NCU11309	NCU11309.5
NCU00037	NCU00037.5
NCU00470	NCU00470.5
NCU06249	NCU06249.5
NCU06211	NCU06211.5
NCU08793	NCU08793.5
NCU02315	NCU02315.5
NCU09061	NCU09061.5
NCU05783	NCU05783.5
NCU10538	NCU10538.5
NCU06067	NCU06067.5
NCU16374	NCU11484.5
NCU02665	NCU02665.5
NCU08378	NCU08378.5
NCU00874	NCU00874.5
NCU00913	NCU00913.5
NCU03015	NCU03015.5
NCU10043	NCU10043.5
NCU02799	NCU02799.5
NCU07446	NCU07446.5
NCU00949	NCU00949.5
NCU09205	NCU09205.5
NCU09805	NCU09805.5
NCU03564	NCU03564.5
NCU04727	NCU04727.5
NCU10733	NCU10733.5
NCU06963	NCU06963.5
NCU07010	NCU07010.5
NCU04857	NCU04857.5
NCU07333	NCU07333.5
NCU07260	NCU07260.5
NCU01296	NCU01296.5
NCU01278	NCU01278.5
NCU04116	NCU04116.5
NCU04223	NCU04223.5
NCU04224	NCU04224.5
NCU07842	NCU07842.5
NCU06199	NCU06199.5
NCU05685	NCU05685.5
NCU06260	NCU06260.5
NCU16656	NCU11833.5
NCU05757	NCU05757.5
NCU06869	NCU06869.5
NCU09566	NCU09566.5
NCU16720	NCU11675.5
NCU08820	NCU08820.5
NCU03200	NCU03200.5
NCU09197	NCU09197.5
NCU03120	NCU03120.5
NCU02495	NCU02495.5
NCU01882	NCU01882.5
NCU00936	NCU00936.5
NCU02955	NCU02955.5
NCU10507	NCU10507.5
NCU16597	NCU11964.5
NCU05906	NCU05906.5
NCU17088	NCU12096.5
NCU09727	NCU09727.5
NCU04421	NCU04421.5
NCU07015	NCU07015.5
NCU06638	NCU06638.5
NCU03768	NCU03768.5
NCU01288	NCU01288.5
NCU04670	NCU04670.5
NCU00252	NCU00252.5
NCU06247	NCU06247.5
NCU02136	NCU02136.5
NCU09215	NCU09215.5
NCU09319	NCU09319.5
NCU02153	NCU02153.5
NCU03019	NCU03019.5
NCU02046	NCU02046.5
NCU02954	NCU02954.5
NCU02680	NCU02680.5
NCU00723	NCU00723.5
NCU03504	NCU03504.5
NCU05389	NCU05389.5
NCU03406	NCU03406.5
NCU01679	NCU01679.5
NCU03360	NCU03360.5
NCU03331	NCU03331.5
NCU07122	NCU07122.5
NCU05114	NCU05114.5
NCU07075	NCU07075.5
NCU05130	NCU05130.5
NCU07692	NCU07692.5
NCU11369	NCU11369.5
NCU04950	NCU04950.5
NCU06733	NCU06733.5
NCU01077	NCU01077.5
NCU04105	NCU04105.5
NCU08857	NCU08857.5
NCU07528	NCU07528.5
NCU00222	NCU00222.5
NCU00196	NCU00196.5
NCU02644	NCU02644.5
NCU00992	NCU00992.5
NCU09069	NCU09069.5
NCU02793	NCU02793.5
NCU16378	NCU11488.5
NCU01898	NCU01898.5
NCU02184	NCU02184.5
NCU00849	NCU00849.5
NCU06844	NCU06844.5
NCU01729	NCU01729.5
NCU04748	NCU04748.5
NCU05989	NCU05989.5
NCU04045	NCU04045.5
NCU06320	NCU06320.5
NCU06584	NCU06584.5
NCU03751	NCU03751.5
NCU04102	NCU04102.5
NCU04147	NCU04147.5
NCU04095	NCU04095.5
NCU07241	NCU07241.5
NCU09216	NCU09216.5
NCU01891	NCU01891.5
NCU09368	NCU09368.5
NCU02165	NCU02165.5
NCU00684	NCU00684.5
NCU10529	NCU10529.5
NCU02158	NCU02158.5
NCU07445	NCU07445.5
NCU02572	NCU02572.5
NCU03223	NCU03223.5
NCU02585	NCU02585.5
NCU09974	NCU09974.5
