geneid	geneidv1	geneidv2	geneidv3	geneidv4	geneidv5
NCU02321	NCU02321.1	NCU02321.2	NCU02321.3	NCU02321.4	NCU02321.5
NCU02322	NCU02322.1	NCU02322.2	NCU02322.3	NCU02322.4	NCU02322.5
NCU02323	NCU02323.1	NCU02323.2	NCU02323.3	NCU02323.4	NCU02323.5
NCU02324	NCU02324.1	NCU02324.2	NCU02324.3	NCU02324.4	NCU02324.5
NCU02325	NCU02325.1	NCU02325.2	NCU02325.3	NCU02325.4	NCU02325.5
NCU02326	NCU02326.1	NCU02326.2	NCU02326.3	NCU02326.4	NCU02326.5
NCU02327	NCU02327.1	NCU02327.2	NCU02327.3	NCU02327.4	NCU02327.5
NCU02328	NCU02328.1	NCU02328.2	NCU02328.3	NCU02328.4	NCU02328.5
NCU02329	NCU02329.1	NCU02329.2	NCU02329.3	NCU02329.4	NCU02329.5
NCU02331	NCU02331.1	NCU02331.2	NCU02331.3	NCU02331.4	NCU02331.5
NCU02333	NCU02333.1	NCU02333.2	NCU02333.3	NCU02333.4	NCU02333.5
NCU02334	NCU02334.1	NCU02334.2	NCU02334.3	NCU02334.4	NCU02334.5
NCU02335	NCU02335.1	NCU02335.2	NCU02335.3	NCU02335.4	NCU02335.5
NCU02336	NCU02336.1	NCU02336.2	NCU02336.3	NCU02336.4	NCU02336.5
NCU02337	NCU02337.1	NCU02337.2	NCU02337.3	NCU02337.4	NCU02337.5
NCU02338	NCU02338.1	NCU02338.2	NCU02338.3	NCU02338.4	NCU02338.5
NCU02339	NCU02339.1	NCU02339.2	NCU02339.3	NCU02339.4	NCU02339.5
NCU02340	NCU02340.1	NCU02340.2	NCU02340.3	NCU02340.4	NCU02340.5
NCU02341	NCU02341.1	NCU02341.2	NCU02341.3	NCU02341.4	NCU02341.5
NCU02342	NCU02342.1	NCU02342.2	NCU02342.3	NCU02342.4	NCU02342.5
NCU02343	NCU02343.1	NCU02343.2	NCU02343.3	NCU02343.4	NCU02343.5
NCU02344	NCU02344.1	NCU02344.2	NCU02344.3	NCU02344.4	NCU02344.5
NCU02345	NCU02345.1	NCU02345.2	NCU02345.3	NCU02345.4	NCU02345.5
NCU02346	NCU02346.1	NCU02346.2	NCU02346.3	NCU02346.4	NCU02346.5
NCU02347	NCU02347.1	NCU10090.2	NCU11254.3	NCU11254.4	NCU02347.5
NCU02348	NCU02348.1	NCU10090.2	NCU11255.3	NCU11255.4	NCU02348.5
NCU02349	NCU02349.1	NCU02349.2	NCU02349.3	NCU02349.4	NCU02349.5
NCU02350	NCU02350.1	NCU02350.2	NCU02350.3	NCU02350.4	NCU02350.5
NCU02351	NCU02351.1	NCU02351.2	NCU02351.3	NCU02351.4	NCU02351.5
NCU02352	NCU02352.1	NCU02352.2	NCU02352.3	NCU02352.4	NCU02352.5
NCU02353	NCU02353.1	NCU02353.2	NCU02353.3	NCU02353.4	NCU02353.5
NCU02354	NCU02354.1	NCU02354.2	NCU02354.3	NCU02354.4	NCU02354.5
NCU02355	NCU02355.1	NCU02355.2	NCU02355.3	NCU02355.4	NCU02355.5
NCU02356	NCU02356.1	NCU02356.2	NCU02356.3	NCU02356.4	NCU02356.5
NCU02357	NCU02357.1	NCU02357.2	NCU02357.3	NCU02357.4	NCU02357.5
NCU02358	NCU02358.1	NCU02358.2	NCU02358.3	NCU02358.4	NCU02358.5
NCU02359	NCU02359.1	NCU02359.2	NCU02359.3	NCU02359.4	NCU02359.5
NCU02360	NCU02360.1	NCU02360.2	NCU02360.3	NCU02360.4	NCU02360.5
NCU02361	NCU02361.1	NCU02361.2	NCU02361.3	NCU02361.4	NCU02361.5
NCU02362	NCU02362.1	NCU02362.2	NCU02362.3	NCU02362.4	NCU02362.5
NCU02363	NCU02363.1	NCU02363.2	NCU02363.3	NCU02363.4	NCU02363.5
NCU02364	NCU02364.1	NCU02364.2	NCU02364.3	NCU02364.4	NCU02364.5
NCU02365	NCU02365.1	NCU02365.2	NCU02365.3	NCU02365.4	NCU02365.5
NCU02366	NCU02366.1	NCU02366.2	NCU02366.3	NCU02366.4	NCU02366.5
NCU02367	NCU02367.1	NCU02367.2	NCU02367.3	NCU02367.4	NCU02367.5
NCU02368	NCU02368.1	NCU02368.2	NCU02368.3	NCU02368.4	NCU02368.5
NCU02369	NCU02369.1	NCU02369.2	NCU02369.3	NCU02369.4	NCU02369.5
NCU02370	NCU02370.1	NCU02370.2	NCU02370.3	NCU02370.4	NCU02370.5
NCU02371	NCU02371.1	NCU02371.2	NCU02371.3	NCU02371.4	NCU02371.5
NCU02372	NCU02372.1	NCU02372.2	NCU02372.3	NCU02372.4	NCU02372.5
NCU02373	NCU02373.1	NCU02373.2	NCU02373.3	NCU02373.4	NCU02373.5
NCU02374	NCU02374.1	NCU02374.2	NCU02374.3	NCU02374.4	NCU02374.5
NCU02375	NCU02375.1	NCU02375.2	NCU02375.3	NCU02375.4	NCU02375.5
NCU02376	NCU02376.1	NCU02376.2	NCU02376.3	NCU02376.4	NCU02376.5
NCU02377	NCU02377.1	NCU02377.2	NCU02377.3	NCU02377.4	NCU02377.5
NCU02378	NCU02378.1	NCU02378.2	NCU02378.3	NCU02378.4	NCU02378.5
NCU02379	NCU02379.1	NCU02379.2	NCU02379.3	NCU02379.4	NCU02379.5
NCU02380	NCU02380.1	NCU02380.2	NCU02380.3	NCU02380.4	NCU02380.5
NCU02381	NCU02381.1	NCU02381.2	NCU02381.3	NCU02381.4	NCU02381.5
NCU02382	NCU02382.1	NCU02382.2	NCU02382.3	NCU02382.4	NCU02382.5
NCU02383	NCU02383.1	NCU02383.2	NCU02383.3	NCU02383.4	NCU02383.5
NCU02385	NCU02385.1	NCU02385.2	NCU02385.3	NCU02385.4	NCU02385.5
NCU02386	NCU02386.1	NCU02386.2	NCU02386.3	NCU02386.4	NCU02386.5
NCU02387	NCU02387.1	NCU02387.2	NCU02387.3	NCU02387.4	NCU02387.5
NCU02388	NCU02388.1	NCU02388.2	NCU02388.3	NCU02388.4	NCU02388.5
NCU02389	NCU02389.1	NCU02389.2	NCU02389.3	NCU02389.4	NCU02389.5
NCU02390	NCU02390.1	NCU02390.2	NCU02390.3	NCU02390.4	NCU02390.5
NCU02391	NCU02391.1	NCU02391.2	NCU02391.3	NCU02391.4	NCU02391.5
NCU02393	NCU02393.1	NCU02393.2	NCU02393.3	NCU02393.4	NCU02393.5
NCU02394	NCU02394.1	NCU02394.2	NCU02394.3	NCU02394.4	NCU02394.5
NCU02395	NCU02395.1	NCU02395.2	NCU02395.3	NCU02395.4	NCU02395.5
NCU02396	NCU02396.1	NCU02396.2	NCU02396.3	NCU02396.4	NCU02396.5
NCU02397	NCU02397.1	NCU02397.2	NCU02397.3	NCU02397.4	NCU02397.5
NCU02398	NCU02398.1	NCU02398.2	NCU02398.3	NCU02398.4	NCU02398.5
NCU02399	NCU02399.1	NCU02399.2	NCU02399.3	NCU02399.4	NCU02399.5
NCU02400	NCU02400.1	NCU02400.2	NCU02400.3	NCU02400.4	NCU02400.5
NCU02401	NCU02401.1	NCU02401.2	NCU02401.3	NCU02401.4	NCU02401.5
NCU02402	NCU02402.1	NCU02402.2	NCU02402.3	NCU02402.4	NCU02402.5
NCU02403	NCU02403.1	NCU02403.2	NCU02403.3	NCU02403.4	NCU02403.5
NCU02404	NCU02404.1	NCU02404.2	NCU02404.3	NCU02404.4	NCU02404.5
NCU02405	NCU02405.1	NCU02405.2	NCU02405.3	NCU02405.4	NCU02405.5
NCU02406	NCU02406.1	NCU02406.2	NCU02406.3	NCU02406.4	NCU02406.5
NCU02407	NCU02407.1	NCU02407.2	NCU02407.3	NCU02407.4	NCU02407.5
NCU02408	NCU02408.1	NCU02408.2	NCU02408.3	NCU02408.4	NCU02408.5
NCU02409	NCU02409.1	NCU02409.2	NCU02409.3	NCU02409.4	NCU02409.5
NCU02410	NCU02410.1	NCU02410.2	NCU02410.3	NCU02410.4	NCU02410.5
NCU02411	NCU02411.1	NCU02411.2	NCU02411.3	NCU02411.4	NCU02411.5
NCU02412	NCU02412.1	NCU02412.2	NCU02412.3	NCU02412.4	NCU02412.5
NCU02413	NCU02413.1	NCU02413.2	NCU02413.3	NCU02413.4	NCU02413.5
NCU02414	NCU02414.1	NCU02414.2	NCU02414.3	NCU02414.4	NCU02414.5
NCU02415	NCU02415.1	NCU02415.2	NCU02415.3	NCU02415.4	NCU02415.5
NCU02416	NCU02416.1	NCU02416.2	NCU02416.3	NCU02416.4	NCU02416.5
NCU02417	NCU02417.1	NCU10773.2	NCU11256.3	NCU11256.4	NCU02417.5
NCU02418	NCU02418.1	NCU10773.2	NCU11257.3	NCU11257.4	NCU02418.5
NCU02419	NCU02419.1	NCU02419.2	NCU02419.3	NCU02419.4	NCU02419.5
NCU02420	NCU02420.1	NCU02420.2	NCU02420.3	NCU02420.4	NCU02420.5
NCU02421	NCU02421.1	NCU02421.2	NCU02421.3	NCU02421.4	NCU02421.5
NCU02422	NCU02422.1	NCU02422.2	NCU02422.3	NCU02422.4	NCU02422.5
NCU02423	NCU02423.1	NCU02423.2	NCU02423.3	NCU02423.4	NCU02423.5
NCU02424	NCU02424.1	NCU02424.2	NCU02424.3	NCU02424.4	NCU02424.5
NCU02425	NCU02425.1	NCU02425.2	NCU02425.3	NCU02425.4	NCU02425.5
NCU02428	NCU02427.1	NCU02428.2	NCU02428.3	NCU02428.4	NCU02428.5
NCU02428	NCU02427.1	NCU02427.2	NCU02428.3	NCU02428.4	NCU02428.5
NCU02428	NCU02428.1	NCU02427.2	NCU02428.3	NCU02428.4	NCU02428.5
NCU02428	NCU02428.1	NCU02428.2	NCU02428.3	NCU02428.4	NCU02428.5
NCU02429	NCU02429.1	NCU02429.2	NCU02429.3	NCU02429.4	NCU02429.5
NCU02430	NCU02430.1	NCU02430.2	NCU02430.3	NCU02430.4	NCU02430.5
NCU02431	NCU02431.1	NCU02431.2	NCU02431.3	NCU02431.4	NCU02431.5
NCU02432	NCU02432.1	NCU02432.2	NCU02432.3	NCU02432.4	NCU02432.5
NCU02433	NCU02433.1	NCU02433.2	NCU02433.3	NCU02433.4	NCU02433.5
NCU02434	NCU02434.1	NCU02434.2	NCU02434.3	NCU02434.4	NCU02434.5
NCU02435	NCU02435.1	NCU02435.2	NCU02435.3	NCU02435.4	NCU02435.5
NCU02436	NCU02436.1	NCU02436.2	NCU02436.3	NCU02436.4	NCU02436.5
NCU02437	NCU02437.1	NCU02437.2	NCU02437.3	NCU02437.4	NCU02437.5
NCU02438	NCU02438.1	NCU02438.2	NCU02438.3	NCU02438.4	NCU02438.5
NCU02450	NCU02450.1	NCU10180.2	NCU11384.3	NCU11384.4	NCU02450.5
NCU02451	NCU02451.1	NCU02451.2	NCU02451.3	NCU02451.4	NCU02451.5
NCU02452	NCU02452.1	NCU10180.2	NCU11385.3	NCU11385.4	NCU02452.5
NCU02453	NCU02453.1	NA	NA	NCU12043.4	NCU02453.5
NCU02455	NCU02455.1	NCU02455.2	NCU02455.3	NCU02455.4	NCU02455.5
NCU02456	NCU02456.1	NCU02456.2	NCU02456.3	NCU02456.4	NCU02456.5
NCU02457	NCU02457.1	NCU02457.2	NCU02457.3	NCU02457.4	NCU02457.5
NCU02458	NCU02458.1	NCU02458.2	NCU02458.3	NCU02458.4	NCU02458.5
NCU02459	NCU02459.1	NCU10398.2	NCU11386.3	NCU11386.4	NCU02459.5
NCU02460	NCU02460.1	NCU10398.2	NCU11387.3	NCU11387.4	NCU02460.5
NCU02461	NCU02461.1	NCU02461.2	NCU02461.3	NCU02461.4	NCU02461.5
NCU02463	NCU02463.1	NCU02463.2	NCU02463.3	NCU02463.4	NCU02463.5
NCU02464	NCU02464.1	NCU02464.2	NCU02464.3	NCU02464.4	NCU02464.5
NCU02465	NCU02465.1	NCU02465.2	NCU02465.3	NCU02465.4	NCU02465.5
NCU02466	NCU02466.1	NCU02466.2	NCU02466.3	NCU02466.4	NCU02466.5
NCU02467	NCU02467.1	NCU02467.2	NCU02467.3	NCU02467.4	NCU02467.5
NCU02468	NCU02468.1	NCU02468.2	NCU02468.3	NCU02468.4	NCU02468.5
NCU02470	NCU02470.1	NCU02470.2	NCU02470.3	NCU02470.4	NCU02470.5
NCU02472	NCU02472.1	NCU02472.2	NCU02472.3	NCU02472.4	NCU02472.5
NCU02473	NCU02473.1	NCU02473.2	NCU02473.3	NCU02473.4	NCU02473.5
NCU02474	NCU02474.1	NCU02474.2	NCU02474.3	NCU02474.4	NCU02474.5
NCU02475	NCU02475.1	NCU02475.2	NCU02475.3	NCU02475.4	NCU02475.5
NCU02476	NCU02476.1	NCU02476.2	NCU02476.3	NCU02476.4	NCU02476.5
NCU02477	NCU02477.1	NCU02477.2	NCU02477.3	NCU02477.4	NCU02477.5
NCU02478	NCU02478.1	NCU02478.2	NCU02478.3	NCU02478.4	NCU02478.5
NCU02479	NCU02479.1	NCU11097.2	NCU11239.3	NCU11239.4	NCU02479.5
NCU02480	NCU02480.1	NCU02480.2	NCU02480.3	NCU02480.4	NCU02480.5
NCU02481	NCU02481.1	NCU11097.2	NCU11238.3	NCU11238.4	NCU02481.5
NCU02482	NCU02482.1	NCU02482.2	NCU02482.3	NCU02482.4	NCU02482.5
NCU02483	NCU02483.1	NCU02483.2	NCU02483.3	NCU02483.4	NCU02483.5
NCU02485	NCU02485.1	NCU02485.2	NCU02485.3	NCU02485.4	NCU02485.5
NCU02486	NCU02486.1	NCU02486.2	NCU02486.3	NCU02486.4	NCU02486.5
NCU02487	NCU02487.1	NCU02487.2	NCU02487.3	NCU02487.4	NCU02487.5
NCU02488	NCU02488.1	NCU02488.2	NCU02488.3	NCU02488.4	NCU02488.5
NCU02490	NCU02490.1	NCU02490.2	NCU02490.3	NCU02490.4	NCU02490.5
NCU02491	NCU02491.1	NCU02491.2	NCU02491.3	NCU02491.4	NCU02491.5
NCU02492	NCU02492.1	NCU02492.2	NCU02492.3	NCU02492.4	NCU02492.5
NCU02493	NCU02493.1	NCU02493.2	NCU02493.3	NCU02493.4	NCU02493.5
NCU02494	NCU02494.1	NCU02494.2	NCU02494.3	NCU02494.4	NCU02494.5
NCU02495	NCU02495.1	NCU02495.2	NCU02495.3	NCU02495.4	NCU02495.5
NCU02496	NCU02496.1	NCU02496.2	NCU02496.3	NCU02496.4	NCU02496.5
NCU02497	NCU02497.1	NCU02497.2	NCU02497.3	NCU02497.4	NCU02497.5
NCU02498	NCU02498.1	NCU02498.2	NCU02498.3	NCU02498.4	NCU02498.5
NCU02499	NCU02499.1	NCU02499.2	NCU02499.3	NCU02499.4	NCU02499.5
NCU02500	NCU02500.1	NCU02500.2	NCU02500.3	NCU02500.4	NCU02500.5
NCU02501	NCU02501.1	NCU02501.2	NCU02501.3	NCU02501.4	NCU02501.5
NCU02502	NCU02502.1	NCU02502.2	NCU02502.3	NCU02502.4	NCU02502.5
NCU02503	NCU02503.1	NCU02503.2	NCU02503.3	NCU02503.4	NCU02503.5
NCU02504	NCU02504.1	NCU02504.2	NCU02504.3	NCU02504.4	NCU02504.5
NCU02505	NCU02505.1	NCU02505.2	NCU02505.3	NCU02505.4	NCU02505.5
NCU02507	NCU02507.1	NCU02507.2	NCU02507.3	NCU02507.4	NCU02507.5
NCU02508	NCU02508.1	NCU02508.2	NCU02508.3	NCU02508.4	NCU02508.5
NCU02509	NCU02509.1	NCU02509.2	NCU02509.3	NCU02509.4	NCU02509.5
NCU02510	NCU02510.1	NCU02510.2	NCU02510.3	NCU02510.4	NCU02510.5
NCU02511	NCU02511.1	NCU02511.2	NCU02511.3	NCU02511.4	NCU02511.5
NCU02512	NCU02512.1	NCU02512.2	NCU02512.3	NCU02512.4	NCU02512.5
NCU02513	NCU02513.1	NCU02513.2	NCU02513.3	NCU02513.4	NCU02513.5
NCU02514	NCU02514.1	NCU02514.2	NCU02514.3	NCU02514.4	NCU02514.5
NCU02515	NCU02515.1	NCU02515.2	NCU02515.3	NCU02515.4	NCU02515.5
NCU02516	NCU02516.1	NCU02516.2	NCU02516.3	NCU02516.4	NCU02516.5
NCU02517	NCU02517.1	NCU02517.2	NCU02517.3	NCU02517.4	NCU02517.5
NCU02519	NCU02519.1	NCU02519.2	NCU02519.3	NCU02519.4	NCU02519.5
NCU02520	NCU02520.1	NCU02520.2	NCU02520.3	NCU02520.4	NCU02520.5
NCU02521	NCU02521.1	NCU02521.2	NCU02521.3	NCU02521.4	NCU02521.5
NCU02522	NCU02522.1	NCU02522.2	NCU02522.3	NCU02522.4	NCU02522.5
NCU02523	NCU02523.1	NCU02523.2	NCU02523.3	NCU02523.4	NCU02523.5
NCU02524	NCU02524.1	NCU02524.2	NCU02524.3	NCU02524.4	NCU02524.5
NCU02525	NCU02525.1	NCU02525.2	NCU02525.3	NCU02525.4	NCU02525.5
NCU02526	NCU02526.1	NCU02526.2	NCU02526.3	NCU02526.4	NCU02526.5
NCU02527	NCU02527.1	NCU02527.2	NCU02527.3	NCU02527.4	NCU02527.5
NCU02528	NCU02528.1	NCU02528.2	NCU02528.3	NCU02528.4	NCU02528.5
NCU02529	NCU02529.1	NCU02529.2	NCU02529.3	NCU02529.4	NCU02529.5
NCU02530	NCU02530.1	NCU02530.2	NCU02530.3	NCU02530.4	NCU02530.5
NCU02531	NCU02531.1	NCU02531.2	NCU02531.3	NCU02531.4	NCU02531.5
NCU02532	NCU02532.1	NCU02532.2	NCU02532.3	NCU02532.4	NCU02532.5
NCU02533	NCU02533.1	NCU02533.2	NCU02533.3	NCU02533.4	NCU02533.5
NCU02534	NCU02534.1	NCU02534.2	NCU02534.3	NCU02534.4	NCU02534.5
NCU02535	NCU02535.1	NCU02535.2	NCU02535.3	NCU02535.4	NCU02535.5
NCU02536	NCU02536.1	NCU02536.2	NCU02536.3	NCU02536.4	NCU02536.5
NCU02538	NCU02538.1	NCU02538.2	NCU02538.3	NCU02538.4	NCU02538.5
NCU02539	NCU02539.1	NCU02539.2	NCU02539.3	NCU02539.4	NCU02539.5
NCU02540	NCU02540.1	NCU02540.2	NCU02540.3	NCU02540.4	NCU02540.5
NCU02541	NCU02541.1	NCU02541.2	NCU02541.3	NCU02541.4	NCU02541.5
NCU02542	NCU02542.1	NCU02542.2	NCU02542.3	NCU02542.4	NCU02542.5
NCU02543	NCU02543.1	NCU02543.2	NCU02543.3	NCU02543.4	NCU02543.5
NCU02544	NCU02544.1	NCU02544.2	NCU02544.3	NCU02544.4	NCU02544.5
NCU02545	NCU02545.1	NCU02545.2	NCU02545.3	NCU02545.4	NCU02545.5
NCU02546	NCU02546.1	NCU02546.2	NCU02546.3	NCU02546.4	NCU02546.5
NCU02547	NCU02547.1	NCU02547.2	NCU02547.3	NCU02547.4	NCU02547.5
NCU02548	NCU02548.1	NCU02548.2	NCU02548.3	NCU02548.4	NCU02548.5
NCU02549	NCU02549.1	NCU02549.2	NCU02549.3	NCU02549.4	NCU02549.5
NCU02550	NCU02550.1	NCU02550.2	NCU02550.3	NCU02550.4	NCU02550.5
NCU02552	NCU02552.1	NCU02552.2	NCU02552.3	NCU02552.4	NCU02552.5
NCU02553	NCU02553.1	NCU02553.2	NCU02553.3	NCU02553.4	NCU02553.5
NCU02554	NCU02554.1	NCU02554.2	NCU02554.3	NCU02554.4	NCU02554.5
NCU02555	NCU02555.1	NCU02555.2	NCU02555.3	NCU02555.4	NCU02555.5
NCU02556	NCU02556.1	NCU02556.2	NCU02556.3	NCU02556.4	NCU02556.5
NCU02558	NCU02558.1	NCU02558.2	NCU02558.3	NCU02558.4	NCU02558.5
NCU02559	NCU02559.1	NCU02559.2	NCU02559.3	NCU02559.4	NCU02559.5
NCU02560	NCU02560.1	NCU02560.2	NCU02560.3	NCU02560.4	NCU02560.5
NCU02561	NCU02561.1	NCU02561.2	NCU02561.3	NCU02561.4	NCU02561.5
NCU02562	NCU02562.1	NCU02562.2	NCU02562.3	NCU02562.4	NCU02562.5
NCU02563	NCU02563.1	NCU02563.2	NCU02563.3	NCU02563.4	NCU02563.5
NCU02564	NCU02564.1	NCU02564.2	NCU02564.3	NCU02564.4	NCU02564.5
NCU02565	NCU02565.1	NCU02565.2	NCU02565.3	NCU02565.4	NCU02565.5
NCU02566	NCU02566.1	NCU02566.2	NCU02566.3	NCU02566.4	NCU02566.5
NCU02567	NCU02567.1	NCU02567.2	NCU02567.3	NCU02567.4	NCU02567.5
NCU02568	NCU02568.1	NCU02568.2	NCU02568.3	NCU02568.4	NCU02568.5
NCU02570	NCU02570.1	NCU02570.2	NCU02570.3	NCU02570.4	NCU02570.5
NCU02571	NCU02571.1	NCU02571.2	NCU02571.3	NCU02571.4	NCU02571.5
NCU02572	NCU02572.1	NCU02572.2	NCU02572.3	NCU02572.4	NCU02572.5
NCU02573	NCU02573.1	NCU02573.2	NCU02573.3	NCU02573.4	NCU02573.5
NCU02574	NCU02574.1	NCU10935.2	NCU10935.3	NCU10935.4	NCU02574.5
NCU02575	NCU02575.1	NCU10881.2	NCU10881.3	NCU10881.4	NCU02575.5
NCU02576	NCU02576.1	NCU02576.2	NCU02576.3	NCU02576.4	NCU02576.5
NCU02577	NCU02577.1	NCU02577.2	NCU02577.3	NCU02577.4	NCU02577.5
NCU02578	NCU02578.1	NCU02578.2	NCU02578.3	NCU02578.4	NCU02578.5
NCU02579	NCU02579.1	NCU02579.2	NCU02579.3	NCU02579.4	NCU02579.5
NCU02580	NCU02580.1	NCU02580.2	NCU02580.3	NCU02580.4	NCU02580.5
NCU02582	NCU02582.1	NCU02582.2	NCU02582.3	NCU02582.4	NCU02582.5
NCU02583	NCU02583.1	NCU02583.2	NCU02583.3	NCU02583.4	NCU02583.5
NCU02584	NCU02584.1	NCU02584.2	NCU02584.3	NCU02584.4	NCU02584.5
NCU02585	NCU02585.1	NCU02585.2	NCU02585.3	NCU02585.4	NCU02585.5
NCU02586	NCU02586.1	NCU02586.2	NCU02586.3	NCU02586.4	NCU02586.5
NCU02587	NCU02587.1	NCU02587.2	NCU02587.3	NCU02587.4	NCU02587.5
NCU02588	NCU02588.1	NCU02588.2	NCU02588.3	NCU02588.4	NCU02588.5
NCU02589	NCU02589.1	NCU02589.2	NCU02589.3	NCU02589.4	NCU02589.5
NCU02590	NCU02590.1	NCU02590.2	NCU02590.3	NCU02590.4	NCU02590.5
NCU02591	NCU02591.1	NCU02591.2	NCU02591.3	NCU02591.4	NCU02591.5
NCU02592	NCU02592.1	NCU02592.2	NCU02592.3	NCU02592.4	NCU02592.5
NCU02593	NCU02593.1	NCU02593.2	NCU02593.3	NCU02593.4	NCU02593.5
NCU02594	NCU02594.1	NCU02594.2	NCU02594.3	NCU02594.4	NCU02594.5
NCU02595	NCU02595.1	NCU02595.2	NCU02595.3	NCU02595.4	NCU02595.5
NCU02596	NCU02596.1	NCU02596.2	NCU02596.3	NCU02596.4	NCU02596.5
NCU02597	NCU02597.1	NCU02597.2	NCU02597.3	NCU02597.4	NCU02597.5
NCU02598	NCU02598.1	NCU02598.2	NCU02598.3	NCU02598.4	NCU02598.5
NCU02599	NCU02599.1	NCU02599.2	NCU02599.3	NCU02599.4	NCU02599.5
NCU02600	NCU02600.1	NCU02600.2	NCU02600.3	NCU02600.4	NCU02600.5
NCU02601	NCU02601.1	NCU02601.2	NCU02601.3	NCU02601.4	NCU02601.5
NCU02602	NCU02602.1	NCU02602.2	NCU02602.3	NCU02602.4	NCU02602.5
NCU02603	NCU02603.1	NCU02603.2	NCU02603.3	NCU02603.4	NCU02603.5
NCU02604	NCU02604.1	NCU02604.2	NCU02604.3	NCU02604.4	NCU02604.5
NCU02605	NCU02605.1	NCU02605.2	NCU02605.3	NCU02605.4	NCU02605.5
NCU02606	NCU02606.1	NCU02606.2	NCU02606.3	NCU02606.4	NCU02606.5
NCU02607	NCU02607.1	NCU02607.2	NCU02607.3	NCU02607.4	NCU02607.5
NCU02608	NCU02608.1	NCU02608.2	NCU02608.3	NCU02608.4	NCU02608.5
NCU02609	NCU02609.1	NCU02609.2	NCU02609.3	NCU02609.4	NCU02609.5
NCU02610	NCU02610.1	NCU02610.2	NCU02610.3	NCU02610.4	NCU02610.5
NCU02611	NCU02611.1	NCU02611.2	NCU02611.3	NCU02611.4	NCU02611.5
NCU02612	NCU02612.1	NCU02612.2	NCU02612.3	NCU02612.4	NCU02612.5
NCU02613	NCU02613.1	NCU02613.2	NCU02613.3	NCU02613.4	NCU02613.5
NCU02614	NCU02614.1	NCU02614.2	NCU02614.3	NCU02614.4	NCU02614.5
NCU02615	NCU02615.1	NCU02615.2	NCU02615.3	NCU02615.4	NCU02615.5
NCU02616	NCU02616.1	NCU02616.2	NCU02616.3	NCU02616.4	NCU02616.5
NCU02617	NCU02617.1	NCU02617.2	NCU02617.3	NCU02617.4	NCU02617.5
NCU02618	NCU02618.1	NCU02618.2	NCU02618.3	NCU02618.4	NCU02618.5
NCU02619	NCU02619.1	NCU02619.2	NCU02619.3	NCU02619.4	NCU02619.5
NCU02620	NCU02620.1	NCU02620.2	NCU02620.3	NCU02620.4	NCU02620.5
NCU02621	NCU02621.1	NCU02621.2	NCU02621.3	NCU02621.4	NCU02621.5
NCU02622	NCU02622.1	NCU02622.2	NCU02622.3	NCU02622.4	NCU02622.5
NCU02623	NCU02623.1	NCU02623.2	NCU02623.3	NCU02623.4	NCU02623.5
NCU02624	NCU02624.1	NCU02624.2	NCU02624.3	NCU02624.4	NCU02624.5
NCU02625	NCU02625.1	NCU02625.2	NCU02625.3	NCU02625.4	NCU02625.5
NCU02626	NCU02626.1	NCU02626.2	NCU02626.3	NCU02626.4	NCU02626.5
NCU02627	NCU02627.1	NCU02627.2	NCU02627.3	NCU02627.4	NCU02627.5
NCU02628	NCU02628.1	NCU02628.2	NCU02628.3	NCU02628.4	NCU02628.5
NCU02629	NCU02629.1	NCU02629.2	NCU02629.3	NCU02629.4	NCU02629.5
NCU02630	NCU02630.1	NCU02630.2	NCU02630.3	NCU02630.4	NCU02630.5
NCU02631	NCU02631.1	NCU02631.2	NCU02631.3	NCU02631.4	NCU02631.5
NCU02632	NCU02632.1	NCU02632.2	NCU02632.3	NCU02632.4	NCU02632.5
NCU02633	NCU02633.1	NCU02633.2	NCU02633.3	NCU02633.4	NCU02633.5
NCU02634	NCU02634.1	NCU02634.2	NCU02634.3	NCU02634.4	NCU02634.5
NCU02635	NCU02635.1	NCU02635.2	NCU02635.3	NCU02635.4	NCU02635.5
NCU02636	NCU02636.1	NCU02636.2	NCU02636.3	NCU02636.4	NCU02636.5
NCU02637	NCU02637.1	NCU02637.2	NCU02637.3	NCU02637.4	NCU02637.5
NCU02638	NA	NA	NA	NCU11482.4	NCU02638.5
NCU02639	NCU02639.1	NCU02639.2	NCU02639.3	NCU02639.4	NCU02639.5
NCU02640	NCU02640.1	NCU02640.2	NCU02640.3	NCU02640.4	NCU02640.5
NCU02641	NCU02641.1	NCU02641.2	NCU02641.3	NCU02641.4	NCU02641.5
NCU02643	NCU02643.1	NCU02643.2	NCU02643.3	NCU02643.4	NCU02643.5
NCU02644	NCU02644.1	NCU02644.2	NCU02644.3	NCU02644.4	NCU02644.5
NCU02648	NCU02648.1	NCU02648.2	NCU02648.3	NCU02648.4	NCU02648.5
NCU02650	NCU02650.1	NCU02650.2	NCU02650.3	NCU02650.4	NCU02650.5
NCU02651	NCU02651.1	NCU02651.2	NCU02651.3	NCU02651.4	NCU02651.5
NCU02652	NCU02652.1	NCU02652.2	NCU02652.3	NCU02652.4	NCU02652.5
NCU02653	NCU02653.1	NCU02653.2	NCU02653.3	NCU02653.4	NCU02653.5
NCU02654	NCU02654.1	NCU02654.2	NCU02654.3	NCU02654.4	NCU02654.5
NCU02655	NCU02655.1	NCU02655.2	NCU02655.3	NCU02655.4	NCU02655.5
NCU02656	NCU02656.1	NCU02656.2	NCU02656.3	NCU02656.4	NCU02656.5
