geneid	geneidv1	geneidv2	geneidv3	geneidv4	geneidv5
NCU00082	NCU00082.1	NCU00082.2	NCU00082.3	NCU00082.4	NCU00082.5
NCU00083	NCU00083.1	NCU00083.2	NCU00083.3	NCU00083.4	NCU00083.5
NCU00084	NCU00084.1	NCU00084.2	NCU00084.3	NCU00084.4	NCU00084.5
NCU00085	NCU00085.1	NCU00085.2	NCU00085.3	NCU00085.4	NCU00085.5
NCU00086	NCU00086.1	NCU00086.2	NCU00086.3	NCU00086.4	NCU00086.5
NCU00087	NCU00087.1	NCU00087.2	NCU00087.3	NCU00087.4	NCU00087.5
NCU00088	NCU00088.1	NCU00088.2	NCU00088.3	NCU00088.4	NCU00088.5
NCU00089	NCU00089.1	NCU00089.2	NCU00089.3	NCU00089.4	NCU00089.5
NCU00090	NCU00090.1	NCU00090.2	NCU00090.3	NCU00090.4	NCU00090.5
NCU00091	NCU00091.1	NCU00091.2	NCU00091.3	NCU00091.4	NCU00091.5
NCU00092	NCU00092.1	NCU00092.2	NCU00092.3	NCU00092.4	NCU00092.5
NCU00093	NCU00093.1	NCU00093.2	NCU00093.3	NCU00093.4	NCU00093.5
NCU00095	NCU00095.1	NCU00095.2	NCU00095.3	NCU00095.4	NCU00095.5
NCU00096	NCU00096.1	NCU00096.2	NCU00096.3	NCU00096.4	NCU00096.5
NCU00097	NCU00097.1	NCU00097.2	NCU00097.3	NCU00097.4	NCU00097.5
NCU00099	NCU00099.1	NCU00099.2	NCU00099.3	NCU00099.4	NCU00099.5
NCU00100	NCU00100.1	NCU00100.2	NCU00100.3	NCU00100.4	NCU00100.5
NCU00101	NCU00101.1	NCU00101.2	NCU00101.3	NCU00101.4	NCU00101.5
NCU00102	NCU00102.1	NCU00102.2	NCU00102.3	NCU00102.4	NCU00102.5
NCU00103	NCU00103.1	NCU00103.2	NCU00103.3	NCU00103.4	NCU00103.5
NCU00104	NCU00104.1	NCU00104.2	NCU00104.3	NCU00104.4	NCU00104.5
NCU00105	NCU00105.1	NCU00105.2	NCU00105.3	NCU00105.4	NCU00105.5
NCU00106	NCU00106.1	NCU00106.2	NCU00106.3	NCU00106.4	NCU00106.5
NCU00107	NCU00107.1	NCU00107.2	NCU00107.3	NCU00107.4	NCU00107.5
NCU00108	NCU00108.1	NCU00108.2	NCU00108.3	NCU00108.4	NCU00108.5
NCU00109	NCU00109.1	NCU00109.2	NCU00109.3	NCU00109.4	NCU00109.5
NCU00110	NCU00110.1	NCU00110.2	NCU00110.3	NCU00110.4	NCU00110.5
NCU00111	NCU00111.1	NCU00111.2	NCU00111.3	NCU00111.4	NCU00111.5
NCU00112	NCU00112.1	NCU00112.2	NCU00112.3	NCU00112.4	NCU00112.5
NCU00114	NCU00114.1	NCU00114.2	NCU00114.3	NCU00114.4	NCU00114.5
NCU00115	NCU00115.1	NCU00115.2	NCU00115.3	NCU00115.4	NCU00115.5
NCU00116	NCU00116.1	NCU00116.2	NCU00116.3	NCU00116.4	NCU00116.5
