geneid	funcatid	gotermid	pubmedid
NCU01592	43.01.03	NA	PMID:15486203
NCU01593	43.01.03	NA	PMID:15486203
NCU01606	02.11	NA	PMID:15486203
NCU01636	32.07	NA	PMID:15486203
NCU01657	02.11.05	NA	PMID:15486203
NCU01673	43.01.03	NA	PMID:15486203
NCU01673	70.02	NA	PMID:15486203
NCU01674	20.09.18	NA	PMID:15486203
NCU01704	40.02.03	NA	PMID:15486203
NCU01713	43.01.03	NA	PMID:15486203
NCU01713	43.01.03.05	NA	PMID:15486203
NCU01724	20.03	NA	PMID:15486203
NCU01731	43.01.03	NA	PMID:15486203
NCU01750	20.03.25	NA	PMID:15486203
NCU01753	01.20.37	NA	PMID:15486203
NCU01763	20.03	NA	PMID:15486203
NCU01804	32.07.03	NA	PMID:15486203
NCU01808	02.11	NA	PMID:15486203
NCU01808	20.03	NA	PMID:15486203
NCU01815	20.03	NA	PMID:15486203
NCU01826	20.03	NA	PMID:15486203
NCU01868	20.09.18.07	NA	PMID:15486203
NCU01868	70.02	NA	PMID:15486203
NCU01895	30.01.05	NA	PMID:15486203
NCU01905	16.17.09	NA	PMID:15486203
NCU01919	14.13.01	NA	PMID:15486203
NCU01948	12.01.01	NA	PMID:15486203
NCU01949	12.01.01	NA	PMID:15486203
NCU01956	20.09.18.07	NA	PMID:15486203
NCU01956	43.01.03.05	NA	PMID:15486203
NCU01957	41.01.01	NA	PMID:15486203
NCU01996	34	NA	PMID:15486203
NCU02009	70.02	NA	PMID:15486203
NCU02031	02.45	NA	PMID:15486203
NCU02051	20.03.25	NA	PMID:15486203
NCU02051	32.05.01	NA	PMID:15486203
NCU02059	42.27	NA	PMID:15486203
NCU02070	41.01	NA	PMID:15486203
NCU02096	32.05.01.03	NA	PMID:15486203
NCU02111	43.01.03.05	NA	PMID:15486203
NCU02142	32.05.01.03	NA	PMID:15486203
NCU02181	12.01.01	NA	PMID:15486203
NCU02195	20.09.18.07	NA	PMID:15486203
NCU02195	70.02	NA	PMID:15486203
NCU02202	30.01.05	NA	PMID:15486203
NCU02224	14.13.01	NA	PMID:15486203
NCU02238	20.09.18.07	NA	PMID:15486203
NCU02238	70.02	NA	PMID:15486203
NCU02250	02.11	NA	PMID:15486203
NCU02253	43.01.03	NA	PMID:15486203
NCU02278	16.17.09	NA	PMID:15486203
NCU02278	20.09.18.07	NA	PMID:15486203
NCU02280	02.11	NA	PMID:15486203
NCU02282	32.05.01.01	NA	PMID:15486203
NCU02283	30.01.05	NA	PMID:15486203
NCU02289	14.13.01	NA	PMID:15486203
